CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
43912102,PROSPER ISD,JUDY RUCKER ELE,3,INDEPENDENT,402 S CRAIG RD,PROSPER,75078-0338,19,97,68,34
43912103,PROSPER ISD,JOHN A. BAKER,3,INDEPENDENT,3125 BLUEWOOD DR,MCKINNEY,75071,14,110,72,37
43912104,PROSPER ISD,CYNTHIA A. COCK,3,INDEPENDENT,1075 ESCALANTE TRAIL,PROSPER,75078,6,127,88,53
43912105,PROSPER ISD,LIGHT FARMS ELE,3,INDEPENDENT,1100 CYPRESS CREEK WAY,CELINA,75009,11,91,69,44
43912106,PROSPER ISD,WINDSONG RANCH,3,INDEPENDENT,800 COPPER CANYON DR,PROSPER,75078,18,184,131,89
43912107,PROSPER ISD,JIM AND BETTY H,3,INDEPENDENT,1551 PRESTWICK HOLLOW DR,MCKINNEY,75071,24,117,80,40
43912108,PROSPER ISD,RALPH AND MARY,3,INDEPENDENT,1616 MONTGOMERY LN,PROSPER,75078,8,125,95,57
43912109,PROSPER ISD,JIM SPRADLEY EL,3,INDEPENDENT,11411 LEONA ST,FRISCO,75035,6,134,106,65
43914101,WYLIE ISD,R.F. HARTMAN EL,3,INDEPENDENT,510 S BIRMINGHAM ST,WYLIE,75098-0490,5,53,41,23
43914102,WYLIE ISD,T.F. BIRMINGHAM,3,INDEPENDENT,700 W BROWN ST,WYLIE,75098-0490,22,91,61,41
43914103,WYLIE ISD,P.M. AKIN ELEM.,3,INDEPENDENT,1100 SPRINGWOOD,WYLIE,75098-0490,9,93,65,43
43914104,WYLIE ISD,DODD ELEM.,3,INDEPENDENT,1500 PARK BLVD,WYLIE,75098,18,101,64,35
43914105,WYLIE ISD,R.V. GROVES ELE,3,INDEPENDENT,1100 MCCREARY RD,WYLIE,75098,11,115,88,47
43914106,WYLIE ISD,CHERI COX ELEM.,3,INDEPENDENT,7009 WOODBRIDGE PKWY,SACHSE,75048,11,102,89,66
43914107,WYLIE ISD,TIBBALS ELEM.,3,INDEPENDENT,621 WATERS EDGE WAY,WYLIE,75098,6,133,117,79
43914108,WYLIE ISD,RITA SMITH ELEM,3,INDEPENDENT,2221 FM 1378,WYLIE,75098,7,120,86,49
43914109,WYLIE ISD,DON WHITT ELEM.,3,INDEPENDENT,7520 WOODCREEK WAY,SACHSE,75048,7,122,104,68
43914110,WYLIE ISD,WALLY WATKINS E,3,INDEPENDENT,1301 ELM RD,WYLIE,75098,6,106,89,64
43914111,WYLIE ISD,GEORGE W. BUSH,3,INDEPENDENT,2000 EAGLE AERIE LN,ST PAUL,75098,10,85,55,24
43917101,BLUE RIDGE ISD,BLUE RIDGE ELEM,3,INDEPENDENT,425 N CHURCH ST,BLUE RIDGE,75424-9730,4,50,30,14
43918101,COMMUNITY ISD,MCCLENDON ELEM.,3,INDEPENDENT,601 FM 1138 N,NEVADA,75173-0400,18,71,39,19
43918103,COMMUNITY ISD,NESMITH ELEM.,3,INDEPENDENT,801 PRESIDENTS BLVD,LAVON,75166,7,78,57,32
43919101,LOVEJOY ISD,CARRIE L. LOVEJ,3,INDEPENDENT,256 COUNTRY CLUB RD,ALLEN,75002-7643,7,93,83,60
43919102,LOVEJOY ISD,JOE V. HART ELE,3,INDEPENDENT,450 COUNTRY CLUB RD,LUCAS,75002,9,79,69,46
43919104,LOVEJOY ISD,ROBERT L. PUSTE,3,INDEPENDENT,856 STODDARD RD,FAIRVIEW,75069,3,84,79,63
44902101,WELLINGTON ISD,WELLINGTON ELEM,3,INDEPENDENT,606 16TH ST,WELLINGTON,79095-3699,13,31,15,8
45902101,COLUMBUS ISD,COLUMBUS ELEM.,3,INDEPENDENT,1324 BOWIE,COLUMBUS,78934-2610,24,76,47,21
45903102,RICE CISD,SHERIDAN ELEM.,3,INDEPENDENT,5526 FM 2437,SHERIDAN,77475-0338,1,7,2,1
45903103,RICE CISD,GARWOOD ELEM.,3,INDEPENDENT,7827 HWY 71 S,GARWOOD,77442-0338,3,10,6,3
45903105,RICE CISD,EAGLE LAKE INTE,3,INDEPENDENT,701 TATE AVE,EAGLE LAKE,77434,14,50,28,10
45905102,WEIMAR ISD,WEIMAR ELEM.,3,INDEPENDENT,515 W MAIN ST,WEIMAR,78962,9,44,24,6
46802011,TRINITY CHARTER,AZLEWAY - WILLO,3,CHARTER,2902 HWY 31 E,TYLER,75702,,,,
46901103,NEW BRAUNFELS I,CARL SCHURZ ELE,3,INDEPENDENT,633 W COLL ST,NEW BRAUNFELS,78130-5690,13,49,31,12
46901104,NEW BRAUNFELS I,SEELE ELEM.,3,INDEPENDENT,540 HOWARD ST,NEW BRAUNFELS,78130-5332,3,42,28,10
46901105,NEW BRAUNFELS I,LAMAR ELEM.,3,INDEPENDENT,240 N CENTRAL AVE,NEW BRAUNFELS,78130-4214,13,48,30,15
46901106,NEW BRAUNFELS I,COUNTY LINE ELE,3,INDEPENDENT,1200 COUNTY LINE RD,NEW BRAUNFELS,78130-8399,8,53,39,19
46901107,NEW BRAUNFELS I,WALNUT SPRINGS,3,INDEPENDENT,1900 S WALNUT,NEW BRAUNFELS,78130-1199,3,40,30,20
46901108,NEW BRAUNFELS I,MEMORIAL ELEM.,3,INDEPENDENT,1911 S WALNUT,NEW BRAUNFELS,78130-1105,25,40,24,10
46901109,NEW BRAUNFELS I,KLEIN ROAD ELEM,3,INDEPENDENT,2620 KLEIN WAY,NEW BRAUNFELS,78130,21,67,35,15
46901110,NEW BRAUNFELS I,VOSS FARMS ELEM,3,INDEPENDENT,2510 PAHMEYER RD,NEW BRAUNFELS,78130,17,92,59,36
46901111,NEW BRAUNFELS I,VERAMENDI ELEM.,3,INDEPENDENT,2290 OAK RUN PKWY,NEW BRAUNFELS,78132,12,117,82,45
46902101,COMAL ISD,RAHE BULVERDE E,3,INDEPENDENT,1715 E AMMANN RD,BULVERDE,78163-2034,8,64,41,18
46902102,COMAL ISD,GARDEN RIDGE EL,3,INDEPENDENT,9401 MUNICIPAL PKWY,GARDEN RIDGE,78266,14,119,83,52
46902104,COMAL ISD,GOODWIN FRAZIER,3,INDEPENDENT,1441 N BUSINESS 35,NEW BRAUNFELS,78130-3299,28,64,34,16
46902105,COMAL ISD,STARTZVILLE ELE,3,INDEPENDENT,42111 FM 3159,CANYON LAKE,78133,15,46,29,18
46902107,COMAL ISD,BILL BROWN ELEM,3,INDEPENDENT,20410 HWY 46 W,SPRING BRANCH,78070-6118,15,95,63,37
46902110,COMAL ISD,ARLON R. SEAY E,3,INDEPENDENT,20911 HWY 46 W,SPRING BRANCH,78070-9999,6,57,40,21
46902111,COMAL ISD,M.H. SPECHT ELE,3,INDEPENDENT,25815 OVERLOOK PKWY,SAN ANTONIO,78260,16,100,65,28
46902112,COMAL ISD,HOFFMANN LANE E,3,INDEPENDENT,4600 FM 306,NEW BRAUNFELS,78132,1,127,99,59
46902113,COMAL ISD,REBECCA CREEK E,3,INDEPENDENT,125 QUEST AVE,SPRING BRANCH,78070,9,78,44,16
46902114,COMAL ISD,TIMBERWOOD PARK,3,INDEPENDENT,26715 S GLENROSE,SAN ANTONIO,78258,4,117,88,54
46902115,COMAL ISD,FREIHEIT ELEM.,3,INDEPENDENT,2002 FM 1101,NEW BRAUNFELS,78130,38,72,38,17
46902117,COMAL ISD,MORNINGSIDE ELE,3,INDEPENDENT,3855 MORNINGSIDE DR,NEW BRAUNFELS,78132,23,81,50,25
46902119,COMAL ISD,CLEAR SPRING EL,3,INDEPENDENT,550 AVERY PKWY,NEW BRAUNFELS,78130,24,88,48,28
46902120,COMAL ISD,MOUNTAIN VALLEY,3,INDEPENDENT,310 CANNAN RD,CANYON LAKE,78133,17,65,37,22
46902121,COMAL ISD,JOHNSON RANCH E,3,INDEPENDENT,30501 JOHNSON WAY,BULVERDE,78163,4,87,65,47
46902122,COMAL ISD,KINDER RANCH EL,3,INDEPENDENT,2035 KINDER PKWY,SAN ANTONIO,78260,8,76,52,33
46902123,COMAL ISD,OAK CREEK ELEM.,3,INDEPENDENT,3060 GOODWIN LN,NEW BRAUNFELS,78130,8,72,56,41
46902125,COMAL ISD,INDIAN SPRINGS,3,INDEPENDENT,25751 WILDERNESS OAK,SAN ANTONIO,78261,12,110,81,49
47901101,COMANCHE ISD,COMANCHE ELEM.,3,INDEPENDENT,308 FM 3381,COMANCHE,76442-1752,12,73,41,22
47902101,DE LEON ISD,DE LEON ELEM.,3,INDEPENDENT,133 E PECAN,DE LEON,76444,3,50,27,12
47903001,GUSTINE ISD,GUSTINE SCHOOL,3,INDEPENDENT,503 W MAIN ST,GUSTINE,76455,3,9,5,1
47905001,SIDNEY ISD,SIDNEY SCHOOL,3,INDEPENDENT,4100 HWY 1689,SIDNEY,76474,1,9,3,0
48901001,EDEN CISD,EDEN CISD,3,INDEPENDENT,113 W BRYAN,EDEN,76837-0988,6,7,4,2
48903001,PAINT ROCK ISD,PAINT ROCK SCHO,3,INDEPENDENT,698 S SIMS ST,PAINT ROCK,76866-0277,8,7,4,1
49901107,GAINESVILLE ISD,W.E. CHALMERS E,3,INDEPENDENT,600 FM 3092,GAINESVILLE,76240,62,174,100,44
49902101,MUENSTER ISD,MUENSTER ELEM.,3,INDEPENDENT,912 N WALNUT ST,MUENSTER,76252,8,28,21,9
49903101,VALLEY VIEW ISD,VALLEY VIEW ELE,3,INDEPENDENT,712 S LEE ST,VALLEY VIEW,76272-9716,7,56,33,13
49905101,CALLISBURG ISD,CALLISBURG ELEM,3,INDEPENDENT,648 FM 3164,GAINESVILLE,76240,13,77,37,14
49906001,ERA ISD,ERA SCHOOL,3,INDEPENDENT,108 HARGROVE ST,ERA,76238-0098,7,26,12,6
49907101,LINDSAY ISD,LINDSAY ELEM.,3,INDEPENDENT,625 KNIGHT DR,LINDSAY,76250-0145,4,37,24,14
49908101,WALNUT BEND ISD,WALNUT BEND ELE,3,INDEPENDENT,47 C R 198,GAINESVILLE,76240-9720,2,7,1,1
49909101,SIVELLS BEND IS,SIVELLS BEND EL,3,INDEPENDENT,1053 CR (17 MILES N OF US 82 ON FM 1201),GAINESVILLE,76240-9307,1,6,3,2
50901101,EVANT ISD,EVANT ELEM.,3,INDEPENDENT,101 MEMORY LN,EVANT,76525-0339,8,8,3,1
50902101,GATESVILLE ISD,GATESVILLE ELEM,3,INDEPENDENT,2537 E MAIN ST,GATESVILLE,76528-0759,45,165,97,49
50904001,OGLESBY ISD,OGLESBY SCHOOL,3,INDEPENDENT,125 COLLEGE AVE,OGLESBY,76561-2007,3,6,5,2
50909001,JONESBORO ISD,JONESBORO SCHOO,3,INDEPENDENT,14909 E ST HWY 36,JONESBORO,76538-0125,4,11,2,1
50910101,COPPERAS COVE I,FAIRVIEW-MISS J,3,INDEPENDENT,710 S 5TH ST,COPPERAS COVE,76522-0580,29,49,23,4
50910102,COPPERAS COVE I,HETTIE HALSTEAD,3,INDEPENDENT,910 N MAIN ST,COPPERAS COVE,76522-0580,18,46,32,15
50910104,COPPERAS COVE I,C.R. CLEMENTS-H,3,INDEPENDENT,1115 NORTHERN DANCER,COPPERAS COVE,76522-0580,24,99,65,38
50910106,COPPERAS COVE I,MARTIN WALKER E,3,INDEPENDENT,100 FM 3046,COPPERAS COVE,76522-0580,10,77,52,28
50910107,COPPERAS COVE I,J.L. WILLIAMS-L,3,INDEPENDENT,909 COURTNEY LN,COPPERAS COVE,76522-0580,26,115,71,45
50910110,COPPERAS COVE I,HOUSE CREEK ELE,3,INDEPENDENT,351 LUTHERAN CHURCH RD,COPPERAS COVE,76522,21,80,50,16
51901001,PADUCAH ISD,PADUCAH SCHOOL,3,INDEPENDENT,810 GOODWIN,PADUCAH,79248-1183,6,8,6,1
52901101,CRANE ISD,CRANE ELEM.,3,INDEPENDENT,300 W 7TH ST,CRANE,79731,21,58,36,18
53001103,CROCKETT COUNTY,OZONA ELEM.,3,COMMON,1701 AVE E,OZONA,76943,29,23,10,5
54901101,CROSBYTON CISD,CROSBYTON ELEM.,3,INDEPENDENT,204 S HARRISON,CROSBYTON,79322-2130,4,15,6,2
54902102,LORENZO ISD,LORENZO ELEM.,3,,,,,6,18,7,0
54903102,RALLS ISD,RALLS ELEM.,3,INDEPENDENT,1401 16TH ST,RALLS,79357-1509,9,26,9,4
55901001,CULBERSON COUNT,VAN HORN SCHOOL,3,INDEPENDENT,200 W 7TH ST,VAN HORN,79855-0899,9,17,3,0
56901105,DALHART ISD,DALHART INTERME,3,INDEPENDENT,801 OAK,DALHART,79022-2639,39,69,39,19
56902001,TEXLINE ISD,TEXLINE SCHOOL,3,INDEPENDENT,302 E PINE ST,TEXLINE,79087-0060,5,12,6,1
57802001,PEGASUS SCHOOL,PEGASUS CHARTER,3,CHARTER,601 N AKARD ST STE 203,DALLAS,75201,31,23,8,3
57803003,UPLIFT EDUCATIO,UPLIFT EDUCATIO,3,CHARTER,300 E CHURCH ST,GRAND PRAIRIE,75050,26,76,55,39
57803008,UPLIFT EDUCATIO,UPLIFT MIGHTY S,3,CHARTER,3700 MIGHTY MITE DR,FORT WORTH,76105,28,77,40,16
57803101,UPLIFT EDUCATIO,UPLIFT EDUCATII,3,CHARTER,606 E ROYAL LN,IRVING,75039,2,96,72,48
57803102,UPLIFT EDUCATIO,UPLIFT EDUCATIO,3,CHARTER,1401 S MACARTHUR BLVD,IRVING,75060,6,70,47,27
57803103,UPLIFT EDUCATIO,UPLIFT GRADUS P,3,CHARTER,121 SEAHAWK DR,DESOTO,75115,31,60,27,10
57803104,UPLIFT EDUCATIO,UPLIFT HEIGHTS,3,CHARTER,2202 CALYPSO ST,DALLAS,75212,35,111,45,22
57803105,UPLIFT EDUCATIO,UPLIFT PINNACLE,3,CHARTER,2510 S VERNON AVE,DALLAS,75224,35,65,31,10
57803106,UPLIFT EDUCATIO,UPLIFT TRIUMPH,3,CHARTER,9411 HARGROVE ST,DALLAS,75220,22,67,37,15
57803107,UPLIFT EDUCATIO,UPLIFT LUNA PRE,3,CHARTER,2020 N LAMAR STE 100,DALLAS,75202,10,66,47,25
57803108,UPLIFT EDUCATIO,UPLIFT MERIDIAN,3,CHARTER,1801 S BEACH ST,FORT WORTH,76105,32,62,33,6
57803109,UPLIFT EDUCATIO,UPLIFT SUMMIT I,3,CHARTER,1301 N CENTER ST,ARLINGTON,76011,16,85,48,22
57803110,UPLIFT EDUCATIO,UPLIFT PEAK PRE,3,CHARTER,4600 BRYAN ST,DALLAS,75204,27,74,41,18
57803111,UPLIFT EDUCATIO,UPLIFT HAMPTON,3,CHARTER,8915 S HAMPTON RD,DALLAS,75237,20,76,37,13
57803112,UPLIFT EDUCATIO,UPLIFT WILLIAMS,3,CHARTER,1750 VICEROY DR,DALLAS,75235,23,73,43,20
57803114,UPLIFT EDUCATIO,UPLIFT WHITE RO,3,CHARTER,7370 VALLEY GLEN RD,DALLAS,75228,17,49,30,11
57805101,LUMIN EDUCATION,LUMIN LINDSLEY,3,CHARTER,7130 LINDSLEY AVE,DALLAS,75223-1138,12,21,12,2
57806101,ADVANTAGE ACADE,ADVANTAGE ACAD.,3,CHARTER,955 FREETOWN RD,GRAND PRAIRIE,75051,65,71,28,15
57807001,LIFE SCHOOL,LIFE SCHOOL OAK,3,CHARTER,4400 S R L THORNTON FRWY,DALLAS,75224,54,51,20,7
57807101,LIFE SCHOOL,LIFE SCHOOL RED,3,CHARTER,777 S I-35 E,RED OAK,75154,51,94,38,14
57807102,LIFE SCHOOL,LIFE SCHOOL LAN,3,CHARTER,954 S I-35 E,LANCASTER,75146,29,46,17,6
57807104,LIFE SCHOOL,LIFE SCHOOL CED,3,CHARTER,129 W WINTERGREEN RD,CEDAR HILL,75104,47,47,17,6
57807105,LIFE SCHOOL,LIFE SCHOOL MOU,3,CHARTER,5525 W ILLINOIS AVE,DALLAS,75211,21,34,16,6
57808101,UNIVERSAL ACADE,UNIVERSAL ACAD.,3,CHARTER,2616 N MACARTHUR BLVD,IRVING,75062-5401,13,48,30,13
57808102,UNIVERSAL ACADE,UNIVERSAL ACAD.,3,CHARTER,1001 E SANDY LAKE RD,COPPELL,75019,13,146,125,97
57809101,NOVA ACADEMY,NOVA ACAD.,3,CHARTER,6459 SCYENE RD,DALLAS,75227,7,11,2,2
57810101,ACADEMY OF DALL,ACAD. OF DALLAS,3,CHARTER,1030 OAK PARK DR,DALLAS,75232,1,22,14,5
57813101,TRINITY BASIN P,TRINITY BASIN P,3,CHARTER,808 N EWING AVE,DALLAS,75203,52,144,70,40
57813104,TRINITY BASIN P,TRINITY BASIN P,3,CHARTER,101 W PAFFORD ST,FORT WORTH,76110,43,88,37,15
57816101,A.W. BROWN LEAD,A.W. BROWN-F.L.,3,CHARTER,5701 RED BIRD CTR DR,DALLAS,75237,22,34,16,7
57816102,A.W. BROWN LEAD,A.W. BROWN - F.,3,CHARTER,6901 S WESTMORELAND RD,DALLAS,75237,30,59,29,17
57819001,JEAN MASSIEU AC,JEAN MASSIEU AC,3,CHARTER,823 N CENTER ST,ARLINGTON,76011,3,15,6,3
57827101,NOVA ACADEMY SO,NOVA ACAD. CEDA,3,CHARTER,820 E WINTERGREEN RD BLDG B,CEDAR HILL,75104,,,,
57827102,NOVA ACADEMY SO,NOVA ACAD. PRIC,3,CHARTER,2800 PRICHARD LN,DALLAS,75227,16,36,16,7
57829001,A+ ACADEMY,A+ ACAD. ELEM.,3,CHARTER,10327 RYLIE RD,DALLAS,75217,44,54,20,8
57830001,INSPIRED VISION,INSPIRED VISION,3,CHARTER,8421 BOHANNON DR,DALLAS,75217,21,75,44,19
57831001,GATEWAY CHARTER,GATEWAY CHARTER,3,CHARTER,6103 UNIVERSITY HILLS BLVD,DALLAS,75241,10,16,9,2
57833001,EDUCATION CENTE,EDUCATION CENTE,3,CHARTER,302 N TOWN E BLVD,SUNNYVALE,75182-2337,10,22,14,6
57833002,EDUCATION CENTE,EDUCATION CENTE,3,CHARTER,8200 SCHRADE RD,ROWLETT,75088,4,7,3,0
57833003,EDUCATION CENTE,EDUCATION CENTE,3,CHARTER,201 N ERBY CAMPBELL BLVD,ROYSE CITY,75189,1,17,12,6
57835001,GOLDEN RULE CHA,GOLDEN RULE CHA,3,CHARTER,2602 W ILLINOIS AVE,DALLAS,75233,13,68,36,18
57835101,GOLDEN RULE CHA,GOLDEN RULE,3,CHARTER,622 SUNNYSIDE AVE,DALLAS,75211,0,9,9,5
57835102,GOLDEN RULE CHA,GOLDEN RULE DES,3,CHARTER,135 W WINTERGREEN RD,DESOTO,75115,1,11,8,4
57835103,GOLDEN RULE CHA,GOLDEN RULE SOU,3,CHARTER,10747 BRUTON RD,DALLAS,75217,2,27,15,9
57835104,GOLDEN RULE CHA,GOLDEN RULE GRA,3,CHARTER,1729 AVE B,GRAND PRAIRIE,75051,0,5,3,3
57836101,ST. ANTHONY SCH,ST. ANTHONY ACA,3,CHARTER,3732 MYRTLE ST,DALLAS,75215,13,23,8,3
57839101,LA ACADEMIA DE,LA ACADEMIA DE,3,CHARTER,4680 W KIEST BLVD,DALLAS,75236,12,75,32,12
57841001,CITYSCAPE SCHOO,EAST GRAND PREP,3,CHARTER,6211 E GRAND BLVD,DALLAS,75223,25,60,35,20
57844101,MANARA ACADEMY,MANARA ACAD.,3,CHARTER,8201 TRISTAR DR,IRVING,75063,15,42,25,12
57844102,MANARA ACADEMY,MANARA STEM ACA,3,CHARTER,6101 S COLLINS ST,ARLINGTON,76018,11,25,15,2
57845001,UME PREPARATORY,UME PREP. ACAD.,3,CHARTER,3838 SPUR 408,DALLAS,75236,4,38,26,14
57845002,UME PREPARATORY,UME PREP. ACAD.,3,CHARTER,415 N CEDAR RIDGE DR,DUNCANVILLE,75116,5,26,13,4
57846001,LEGACY PREPARAT,LEGACY PREP CHA,3,CHARTER,2727 MILITARY PKWY,MESQUITE,75149,34,56,22,11
57846003,LEGACY PREPARAT,LEGACY PREPARAT,3,CHARTER,601 ACCENT DR,PLANO,75075,8,31,20,12
57847001,VILLAGE TECH SC,VILLAGE TECH SC,3,CHARTER,402 W DANIELDALE RD,DUNCANVILLE,75137,31,52,22,10
57848001,INTERNATIONAL L,ILTEXAS GARLAND,3,CHARTER,3301 N SHILOH RD,GARLAND,75044,48,113,60,30
57848004,INTERNATIONAL L,ILTEXAS ARLINGT,3,CHARTER,4950 S BOWEN RD,ARLINGTON,76017,37,100,49,19
57848007,INTERNATIONAL L,ILTEXAS KELLER,3,CHARTER,2301 HERITAGE TRACE PKWY,FORT WORTH,76177,21,135,90,43
57848010,INTERNATIONAL L,ILTEXAS GRAND P,3,CHARTER,3501 GREAT SOUTHWEST PKWY,GRAND PRAIRIE,75052,41,111,54,21
57848012,INTERNATIONAL L,ILTEXAS NORTH R,3,CHARTER,4131 RUFE SNOW DR,N RICHLAND HILLS,76180,50,96,42,20
57848014,INTERNATIONAL L,ILTEXAS KATY EL,3,CHARTER,24406 FRANZ RD,KATY,77493,36,103,64,21
57848016,INTERNATIONAL L,ILTEXAS WESTPAR,3,CHARTER,15300 BELLAIRE BLVD,HOUSTON,77083,43,111,71,37
57848019,INTERNATIONAL L,ILTEXAS LANCAST,3,CHARTER,1900 W PLEASANT RUN RD,LANCASTER,75146,58,82,31,18
57848021,INTERNATIONAL L,ILTEXAS EAST FO,3,CHARTER,5901 BOCA RATON BLVD,FORT WORTH,76112,54,62,29,9
57848023,INTERNATIONAL L,ILTEXAS SAGINAW,3,CHARTER,500 OLD DECATUR RD,SAGINAW,76179,57,94,44,21
57848025,INTERNATIONAL L,ILTEXAS HOUSTON,3,CHARTER,9898 WINDMILL LAKES BLVD,HOUSTON,77075,39,87,48,20
57848027,INTERNATIONAL L,ILTEXAS HOUSTON,3,CHARTER,5445 E OREM DR,HOUSTON,77048,63,51,21,9
57848030,INTERNATIONAL L,ILTEXAS COLLEGE,3,CHARTER,3610 LONGMIRE DR,COLLEGE STATION,77845,30,79,50,25
57849001,TRINITY ENVIRON,TRINITY ENVIRON,3,,,,,14,17,8,2
57850002,PIONEER TECHNOL,PIONEER TECHNOL,3,CHARTER,300 AEROBIC LN,GREENVILLE,75402,2,18,13,2
57903102,CARROLLTON-FARM,CARROLLTON ELEM,3,INDEPENDENT,1805 PEARL ST,CARROLLTON,75006-6123,17,71,32,6
57903103,CARROLLTON-FARM,CENTRAL ELEM.,3,INDEPENDENT,1600 S PERRY RD,CARROLLTON,75006-7485,23,57,27,11
57903105,CARROLLTON-FARM,GOOD ELEM.,3,INDEPENDENT,1012 STUDY LN,CARROLLTON,75006-3101,13,60,32,18
57903106,CARROLLTON-FARM,STARK ELEM.,3,INDEPENDENT,12400 JOSEY LN,FARMERS BRANCH,75234-6419,7,84,58,29
57903109,CARROLLTON-FARM,FARMERS BRANCH,3,INDEPENDENT,13521 TOM FIELD RD,FARMERS BRANCH,75234-4855,7,63,50,25
57903110,CARROLLTON-FARM,BLANTON ELEM.,3,INDEPENDENT,2525 SCOTT MILL RD,CARROLLTON,75006-1717,9,71,44,17
57903111,CARROLLTON-FARM,THOMPSON ELEM.,3,INDEPENDENT,2915 SCOTT MILL RD,CARROLLTON,75007-5321,19,64,40,18
57903112,CARROLLTON-FARM,COUNTRY PLACE E,3,INDEPENDENT,2115 RAINTREE,CARROLLTON,75006-4719,20,45,21,11
57903113,CARROLLTON-FARM,DAVIS ELEM.,3,INDEPENDENT,3205 DORCHESTER DR,CARROLLTON,75007-3017,12,70,43,18
57903114,CARROLLTON-FARM,MCCOY ELEM.,3,INDEPENDENT,2425 MCCOY RD,CARROLLTON,75006-1408,3,43,40,31
57903116,CARROLLTON-FARM,FURNEAUX ELEM.,3,INDEPENDENT,3210 FURNEAUX RD,CARROLLTON,75007-3532,7,41,33,14
57903118,CARROLLTON-FARM,ROSEMEADE ELEM.,3,INDEPENDENT,3550 KIMBERLY,CARROLLTON,75007-2987,4,53,33,20
57903120,CARROLLTON-FARM,LAS COLINAS ELE,3,INDEPENDENT,2200 KINWEST PKWY,IRVING,75063-3429,12,93,62,44
57903121,CARROLLTON-FARM,LANDRY ELEM.,3,INDEPENDENT,265 RED RIVER TRL,IRVING,75063-4520,20,29,16,6
57903122,CARROLLTON-FARM,KENT ELEM.,3,INDEPENDENT,1800 W ROSEMEADE PKWY,CARROLLTON,75007-2638,6,57,34,21
57903123,CARROLLTON-FARM,RIVERCHASE ELEM,3,INDEPENDENT,272 S MACARTHUR BLVD,COPPELL,75019,9,30,18,11
57903124,CARROLLTON-FARM,MCKAMY ELEM.,3,INDEPENDENT,3443 BRIARGROVE LN,DALLAS,75287-5186,15,40,15,10
57903125,CARROLLTON-FARM,SHEFFIELD ELEM.,3,INDEPENDENT,18110 KELLY BLVD,DALLAS,75287-3429,55,58,17,5
57903126,CARROLLTON-FARM,RAINWATER ELEM.,3,INDEPENDENT,1408 E FRANKFORD,CARROLLTON,75007-5186,11,42,27,13
57903128,CARROLLTON-FARM,FREEMAN ELEM.,3,INDEPENDENT,8757 VALLEY RANCH PKWY,IRVING,75063,4,67,54,33
57903129,CARROLLTON-FARM,MCWHORTER ELEM.,3,INDEPENDENT,3678 TIMBERGLEN RD,DALLAS,75287,32,38,15,5
57903131,CARROLLTON-FARM,BLAIR ELEM.,3,INDEPENDENT,14055 HEARTSIDE DR,FARMERS BRANCH,75234,28,60,21,3
57903132,CARROLLTON-FARM,LA VILLITA ELEM,3,INDEPENDENT,1601 CAMINO LAGO WAY,IRVING,75039,20,89,61,42
57903135,CARROLLTON-FARM,MCLAUGHLIN STRI,3,INDEPENDENT,3030 FYKE RD,FARMERS BRANCH,75234,40,62,22,8
57904101,CEDAR HILL ISD,BRAY ELEM.,3,INDEPENDENT,218 N BROAD ST,CEDAR HILL,75104-1990,13,24,18,5
57904102,CEDAR HILL ISD,PLUMMER ELEM.,3,INDEPENDENT,1203 CLARK RD,CEDAR HILL,75104-3242,32,60,37,15
57904104,CEDAR HILL ISD,HIGH POINTE ELE,3,INDEPENDENT,1351 HIGH POINTE LN,CEDAR HILL,75104-5067,23,39,15,4
57904105,CEDAR HILL ISD,HIGHLANDS ELEM.,3,INDEPENDENT,131 SIMS DR,CEDAR HILL,75104-0248,34,46,24,12
57904107,CEDAR HILL ISD,WATERFORD OAKS,3,INDEPENDENT,401 N WATERFORD OAKS DR,CEDAR HILL,75104-9113,32,56,29,11
57904108,CEDAR HILL ISD,LAKERIDGE ELEM.,3,INDEPENDENT,1020 LAKERIDGE PWKY,CEDAR HILL,75104,34,20,12,8
57904110,CEDAR HILL ISD,CEDAR HILL COLL,3,INDEPENDENT,975 PICKARD DR,CEDAR HILL,75104,7,56,36,22
57905101,DALLAS ISD,JOHN Q. ADAMS E,3,INDEPENDENT,8239 LK JUNE RD,DALLAS,75217-2104,37,78,44,15
57905103,DALLAS ISD,GABE P. ALLEN C,3,INDEPENDENT,5220 NOMAS ST,DALLAS,75212-3229,28,36,12,5
57905104,DALLAS ISD,WILLIAM M. ANDE,3,INDEPENDENT,620 N ST AUGUSTINE DR,DALLAS,75217-4111,8,75,49,23
57905105,DALLAS ISD,ARCADIA PARK EL,3,INDEPENDENT,1300 N JUSTIN AVE,DALLAS,75211,23,78,36,17
57905107,DALLAS ISD,JOSE 'JOE' MAY,3,INDEPENDENT,9818 BROCKBANK DR,DALLAS,75220,22,60,35,11
57905108,DALLAS ISD,BAYLES ELEM.,3,INDEPENDENT,2444 TELEGRAPH AVE,DALLAS,75228-5819,22,45,26,9
57905109,DALLAS ISD,W.A. BLAIR ELEM,3,INDEPENDENT,7720 GAYGLEN DR,DALLAS,75217-6715,29,68,38,19
57905110,DALLAS ISD,ANNIE WEBB BLAN,3,INDEPENDENT,8915 GREENMOUND AVE,DALLAS,75227-8399,25,77,46,35
