CAMPUS,DNAME,CNAME,GRADE,District Type,School Street Address,School City,School Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
57912105,IRVING ISD,GOOD ELEM.,4,INDEPENDENT,1200 E UNION BOWER RD,IRVING,75061-5499,45.0,105.0,71.0,37.0
57912106,IRVING ISD,HALEY J. ELEM.,4,INDEPENDENT,1100 SCHULZE DR,IRVING,75060-2698,26.0,96.0,59.0,34.0
57912107,IRVING ISD,HALEY T. ELEM.,4,INDEPENDENT,3601 CHEYENNE ST,IRVING,75062-8499,35.0,93.0,51.0,28.0
57912108,IRVING ISD,JOHNSTON ELEM.,4,INDEPENDENT,2801 RUTGERS DR,IRVING,75062-7199,55.0,85.0,38.0,23.0
57912109,IRVING ISD,KEYES ELEM.,4,INDEPENDENT,1501 N BRITAIN RD,IRVING,75061-2693,25.0,88.0,60.0,36.0
57912111,IRVING ISD,LEE ELEM.,4,INDEPENDENT,1600 CARLISLE ST,IRVING,75062-3599,30.0,77.0,41.0,23.0
57912112,IRVING ISD,LIVELY ELEM.,4,INDEPENDENT,1800 E PLYMOUTH DR,IRVING,75061-1999,61.0,68.0,39.0,21.0
57912113,IRVING ISD,FARINE ELEM.,4,INDEPENDENT,615 METKER RD,IRVING,75062-4498,28.0,99.0,69.0,40.0
57912114,IRVING ISD,SCHULZE ELEM.,4,INDEPENDENT,1200 S IRVING HEIGHTS,IRVING,75060-6306,29.0,83.0,57.0,35.0
57912116,IRVING ISD,BRANDENBURG ELE,4,INDEPENDENT,2800 HILLCREST DR,IRVING,75062-6902,25.0,119.0,82.0,46.0
57912118,IRVING ISD,ELLIOTT ELEM.,4,INDEPENDENT,1900 S STORY RD,IRVING,75060-6599,28.0,84.0,65.0,38.0
57912119,IRVING ISD,HANES ELEM.,4,INDEPENDENT,2730 CHEYENNE ST,IRVING,75062-7297,26.0,75.0,38.0,19.0
57912120,IRVING ISD,TOWNLEY ELEM.,4,INDEPENDENT,1030 W VILBIG ST,IRVING,75060-5869,34.0,90.0,52.0,37.0
57912121,IRVING ISD,DAVIS ELEM.,4,INDEPENDENT,310 DAVIS AVE,IRVING,75061-6219,41.0,86.0,47.0,28.0
57912122,IRVING ISD,GILBERT F.M. EL,4,INDEPENDENT,1501 E PIONEER DR,IRVING,75061-7848,20.0,85.0,49.0,21.0
57912123,IRVING ISD,JACKIE MAE TOWN,4,INDEPENDENT,3700 PLEASANT RUN,IRVING,75038,49.0,69.0,33.0,17.0
57912124,IRVING ISD,JOHN W. AND MAR,4,INDEPENDENT,3100 CROSS TIMBERS,IRVING,75060,26.0,102.0,68.0,45.0
57913101,LANCASTER ISD,PLEASANT RUN EL,4,INDEPENDENT,427 W PLEASANT RUN RD,LANCASTER,75134-1597,34.0,85.0,46.0,29.0
57913102,LANCASTER ISD,HOUSTON ELEM.,4,INDEPENDENT,2929 MARQUIS ST,LANCASTER,75134-1602,19.0,87.0,49.0,20.0
57913103,LANCASTER ISD,WEST MAIN ELEM.,4,INDEPENDENT,531 W MAIN ST,LANCASTER,75146-3198,10.0,90.0,54.0,31.0
57913106,LANCASTER ISD,ROSA PARKS-MILL,4,INDEPENDENT,630 MILLBROOK DR,LANCASTER,75146-0400,15.0,51.0,23.0,9.0
57913107,LANCASTER ISD,ROLLING HILLS E,4,INDEPENDENT,450 ROLLING HILLS PL,LANCASTER,75146-1038,14.0,41.0,19.0,5.0
57913109,LANCASTER ISD,BELT LINE ELEM.,4,INDEPENDENT,1355 W BELT LINE RD,LANCASTER,75146,19.0,27.0,13.0,6.0
57914101,MESQUITE ISD,BLACK ELEM.,4,INDEPENDENT,328 E NEWSOM ST,MESQUITE,75149-5022,30.0,70.0,40.0,21.0
57914102,MESQUITE ISD,FLORENCE ELEM.,4,INDEPENDENT,4600 ASHWOOD DR,MESQUITE,75150-1966,22.0,77.0,50.0,25.0
57914103,MESQUITE ISD,GALLOWAY ELEM.,4,INDEPENDENT,200 CLARY DR,MESQUITE,75149-3010,12.0,58.0,40.0,22.0
57914104,MESQUITE ISD,HANBY ELEM.,4,INDEPENDENT,480 GROSS RD,MESQUITE,75149-3212,43.0,84.0,55.0,27.0
57914105,MESQUITE ISD,HODGES ELEM.,4,INDEPENDENT,14401 SPRING OAKS,BALCH SPRINGS,75180-3540,41.0,50.0,25.0,18.0
57914106,MESQUITE ISD,MCWHORTER ELEM.,4,INDEPENDENT,1700 HICKORY TREE RD,MESQUITE,75149-6338,33.0,89.0,51.0,21.0
57914107,MESQUITE ISD,MOTLEY ELEM.,4,INDEPENDENT,3719 MOON DR,MESQUITE,75150-2167,8.0,34.0,22.0,15.0
57914108,MESQUITE ISD,RANGE ELEM.,4,INDEPENDENT,2600 BAMBOO ST,MESQUITE,75150,29.0,66.0,43.0,25.0
57914109,MESQUITE ISD,RUGEL ELEM.,4,INDEPENDENT,2701 SYBIL DR,MESQUITE,75149-1999,18.0,41.0,20.0,12.0
57914110,MESQUITE ISD,RUTHERFORD ELEM,4,INDEPENDENT,1607 SIERRA DR,MESQUITE,75149-6135,36.0,74.0,41.0,28.0
57914111,MESQUITE ISD,SHANDS ELEM.,4,INDEPENDENT,4836 SHANDS DR,MESQUITE,75150-1152,29.0,83.0,61.0,41.0
57914112,MESQUITE ISD,TISINGER ELEM.,4,INDEPENDENT,1701 HILLCREST ST,MESQUITE,75149-2240,31.0,75.0,46.0,22.0
57914113,MESQUITE ISD,TOSCH ELEM.,4,INDEPENDENT,2424 LARCHMONT DR,MESQUITE,75150-5233,30.0,63.0,39.0,20.0
57914114,MESQUITE ISD,SEABOURN ELEM.,4,INDEPENDENT,2249 PICADILLY BLVD,MESQUITE,75149-3798,32.0,50.0,26.0,17.0
57914115,MESQUITE ISD,LAWRENCE ELEM.,4,INDEPENDENT,3811 RICHMAN DR,MESQUITE,75150-2287,13.0,49.0,27.0,12.0
57914116,MESQUITE ISD,FLOYD ELEM.,4,INDEPENDENT,3025 HICKORY TREE RD,BLACH SPRINGS,75149-1623,24.0,50.0,24.0,14.0
57914117,MESQUITE ISD,PORTER ELEM.,4,INDEPENDENT,517 VIA AVENIDA,MESQUITE,75150-3176,10.0,48.0,30.0,18.0
57914118,MESQUITE ISD,MCKENZIE ELEM.,4,INDEPENDENT,3535 STEPHENS GREEN,MESQUITE,75150-3566,22.0,59.0,35.0,17.0
57914119,MESQUITE ISD,BEASLEY ELEM.,4,INDEPENDENT,919 GREEN CANYON DR,MESQUITE,75150-4346,14.0,49.0,31.0,22.0
57914120,MESQUITE ISD,PRICE ELEM.,4,INDEPENDENT,630 STROUD LN,GARLAND,75043-1307,14.0,37.0,24.0,13.0
57914121,MESQUITE ISD,SHAW ELEM.,4,INDEPENDENT,707 PURPLE SAGE TRL,MESQUITE,75150,22.0,66.0,36.0,19.0
57914122,MESQUITE ISD,KIMBALL ELEM.,4,INDEPENDENT,4010 CORYELL WAY,MESQUITE,75150-2816,1.0,34.0,27.0,18.0
57914123,MESQUITE ISD,PIRRUNG ELEM.,4,INDEPENDENT,1500 CREEK VLY,MESQUITE,75181-5922,31.0,43.0,24.0,9.0
57914124,MESQUITE ISD,CANNADAY ELEM.,4,INDEPENDENT,2701 CHISOLM TR,MESQUITE,75150-4829,34.0,68.0,31.0,18.0
57914125,MESQUITE ISD,AUSTIN ELEM.,4,INDEPENDENT,3020 POTEET DR,MESQUITE,75150-4762,24.0,43.0,25.0,11.0
57914126,MESQUITE ISD,MOSS ELEM.,4,INDEPENDENT,1208 NEW MARKET RD,MESQUITE,75149-5710,18.0,61.0,34.0,15.0
57914127,MESQUITE ISD,THOMPSON ELEM.,4,INDEPENDENT,2525 HELEN LN,MESQUITE,75181-1857,42.0,47.0,22.0,9.0
57914128,MESQUITE ISD,GRAY ELEM.,4,INDEPENDENT,3500 PIONEER RD,BALCH SPRINGS,75180,15.0,47.0,31.0,17.0
57914129,MESQUITE ISD,SMITH ELEM.,4,INDEPENDENT,2300 MESQUITE VALLEY RD,MESQUITE,75149-6646,21.0,48.0,25.0,12.0
57914130,MESQUITE ISD,GENTRY ELEM.,4,INDEPENDENT,1901 TWIN OAKS DR,MESQUITE,75181,23.0,93.0,50.0,25.0
57914131,MESQUITE ISD,MACKEY ELEM.,4,INDEPENDENT,14900 N SPRING RIDGE CIR,BALCH SPRINGS,75180,15.0,58.0,35.0,20.0
57914132,MESQUITE ISD,ACHZIGER ELEM.,4,INDEPENDENT,3300 RIDGERANCH RD,MESQUITE,75181,61.0,86.0,50.0,20.0
57914133,MESQUITE ISD,DR. LINDA HENRI,4,INDEPENDENT,405 E DAVIS ST,MESQUITE,75149,19.0,100.0,57.0,30.0
57916101,RICHARDSON ISD,ARAPAHO CLASSIC,4,INDEPENDENT,1300 CYPRESS DR,RICHARDSON,75080-4107,9.0,75.0,62.0,43.0
57916102,RICHARDSON ISD,CANYON CREEK EL,4,INDEPENDENT,2100 COPPER RDG DR,RICHARDSON,75080-2312,3.0,40.0,35.0,32.0
57916103,RICHARDSON ISD,DOVER ELEM.,4,INDEPENDENT,700 DOVER DR,RICHARDSON,75080-6709,23.0,47.0,25.0,9.0
57916104,RICHARDSON ISD,GREENWOOD HILLS,4,INDEPENDENT,1313 W SHORE DR,RICHARDSON,75080-4021,14.0,43.0,27.0,12.0
57916105,RICHARDSON ISD,HAMILTON PARK P,4,INDEPENDENT,8301 TOWNS ST,DALLAS,75243-4107,49.0,48.0,26.0,16.0
57916106,RICHARDSON ISD,O. HENRY ELEM.,4,INDEPENDENT,4100 TYNES DR,GARLAND,75042-4107,17.0,44.0,32.0,12.0
57916107,RICHARDSON ISD,LAKE HIGHLANDS,4,INDEPENDENT,9501 FERNDALE RD,DALLAS,75238-4107,14.0,67.0,49.0,31.0
57916108,RICHARDSON ISD,MOHAWK ELEM.,4,INDEPENDENT,1500 MIMOSA DR,RICHARDSON,75080-2813,7.0,55.0,42.0,27.0
57916109,RICHARDSON ISD,NORTHRICH ELEM.,4,INDEPENDENT,1301 CUSTER RD,RICHARDSON,75080-4505,20.0,47.0,29.0,12.0
57916110,RICHARDSON ISD,NORTHWOOD HILLS,4,INDEPENDENT,14532 MEANDERING WAY,DALLAS,75240-4107,28.0,43.0,27.0,14.0
57916111,RICHARDSON ISD,RICHARDSON HEIG,4,INDEPENDENT,101 N FLOYD RD,RICHARDSON,75080-5602,26.0,36.0,27.0,13.0
57916112,RICHARDSON ISD,RICHARDSON TERR,4,INDEPENDENT,300 N DOROTHY AVE,RICHARDSON,75081-3408,14.0,54.0,33.0,18.0
57916113,RICHARDSON ISD,SPRING VALLEY E,4,INDEPENDENT,13535 SPRING GROVE AVE,DALLAS,75240-3798,12.0,37.0,20.0,14.0
57916114,RICHARDSON ISD,STULTS ROAD ELE,4,INDEPENDENT,8700 STULTS RD,DALLAS,75243-4107,40.0,50.0,30.0,15.0
57916115,RICHARDSON ISD,MARK TWAIN ELEM,4,INDEPENDENT,1200 LARKSPUR DR,RICHARDSON,75081-3609,21.0,53.0,28.0,15.0
57916116,RICHARDSON ISD,WALLACE ELEM.,4,INDEPENDENT,9921 KIRKHAVEN DR,DALLAS,75238-4107,43.0,88.0,59.0,32.0
57916117,RICHARDSON ISD,WHITE ROCK ELEM,4,INDEPENDENT,9229 CHISWELL RD,DALLAS,75238-4107,17.0,89.0,74.0,61.0
57916118,RICHARDSON ISD,SPRING CREEK EL,4,INDEPENDENT,7667 ROUNDROCK RD,DALLAS,75248-4107,5.0,42.0,32.0,21.0
57916120,RICHARDSON ISD,FORESTRIDGE ELE,4,INDEPENDENT,10330 BUNCHBERRY DR,DALLAS,75243-4107,28.0,62.0,35.0,19.0
57916121,RICHARDSON ISD,NORTHLAKE ELEM.,4,INDEPENDENT,10059 RAVENSWAY DR,DALLAS,75238-4107,13.0,49.0,26.0,9.0
57916122,RICHARDSON ISD,BOWIE ELEM.,4,INDEPENDENT,7643 LA MANGA DR,DALLAS,75248-4107,11.0,75.0,52.0,38.0
57916123,RICHARDSON ISD,PRAIRIE CREEK E,4,INDEPENDENT,2120 E PRAIRIE CREEK DR,RICHARDSON,75080-2620,1.0,51.0,45.0,30.0
57916124,RICHARDSON ISD,SPRINGRIDGE ELE,4,INDEPENDENT,1801 E SPRING VLY RD,RICHARDSON,75081-5463,9.0,35.0,22.0,17.0
57916125,RICHARDSON ISD,PRESTONWOOD ELE,4,INDEPENDENT,6525 LA COSA,DALLAS,75248-4107,11.0,50.0,41.0,29.0
57916126,RICHARDSON ISD,SKYVIEW ELEM.,4,INDEPENDENT,9229 MEADOWKNOLL DR,DALLAS,75243-4107,44.0,54.0,31.0,13.0
57916127,RICHARDSON ISD,DARTMOUTH ELEM.,4,INDEPENDENT,417 DARTMOUTH LN,RICHARDSON,75081-3235,24.0,39.0,19.0,14.0
57916128,RICHARDSON ISD,BRENTFIELD ELEM,4,INDEPENDENT,6767 BRENTFIELD DR,DALLAS,75248-4107,7.0,94.0,83.0,64.0
57916129,RICHARDSON ISD,JESS HARBEN ELE,4,INDEPENDENT,600 S GLENVILLE DR,RICHARDSON,75081-4529,10.0,35.0,23.0,14.0
57916130,RICHARDSON ISD,RICHLAND ELEM.,4,INDEPENDENT,550 PARK BEND,RICHARDSON,75081,39.0,53.0,20.0,12.0
57916131,RICHARDSON ISD,YALE ELEM.,4,INDEPENDENT,1900 E COLLINS BLVD,RICHARDSON,75081-2103,18.0,48.0,33.0,25.0
57916132,RICHARDSON ISD,MOSS HAVEN ELEM,4,INDEPENDENT,9202 MOSS FARM LN,DALLAS,75243-4107,13.0,59.0,45.0,33.0
57916133,RICHARDSON ISD,BIG SPRINGS ELE,4,INDEPENDENT,3301 W CAMPBELL RD,GARLAND,75044,8.0,37.0,24.0,15.0
57916134,RICHARDSON ISD,MERRIMAN PARK E,4,INDEPENDENT,7101 WINEDALE DR,DALLAS,75231-4107,14.0,76.0,52.0,32.0
57916135,RICHARDSON ISD,AIKIN ELEM.,4,INDEPENDENT,12300 PLEASANT VLY DR,DALLAS,75243-4107,31.0,64.0,37.0,21.0
57916137,RICHARDSON ISD,RISD ACAD.,4,INDEPENDENT,13630 COIT RD,DALLAS,75240-5788,15.0,96.0,58.0,34.0
57916142,RICHARDSON ISD,MATH-SCIENCE-TE,4,INDEPENDENT,450 ABRAMS RD,RICHARDSON,75081,10.0,69.0,57.0,38.0
57916143,RICHARDSON ISD,FOREST LANE ACA,4,INDEPENDENT,9663 FOREST LN,DALLAS,75243,27.0,77.0,44.0,23.0
57916144,RICHARDSON ISD,AUDELIA CREEK E,4,INDEPENDENT,12600 AUDELIA,DALLAS,75243,30.0,40.0,14.0,9.0
57916145,RICHARDSON ISD,CAROLYN G. BUKH,4,INDEPENDENT,13900 MAHAM RD,DALLAS,75240,27.0,45.0,24.0,16.0
57916146,RICHARDSON ISD,THURGOOD MARSHA,4,INDEPENDENT,9666 FERRIS BRANCH,DALLAS,75243,22.0,49.0,24.0,11.0
57919101,SUNNYVALE ISD,SUNNYVALE ELEM.,4,INDEPENDENT,416 HOUNSEL LN,SUNNYVALE,75182-9544,19.0,126.0,98.0,67.0
57922101,COPPELL ISD,PINKERTON ELEM.,4,INDEPENDENT,260 SOUTHWESTERN BLVD,COPPELL,75019-4519,7.0,68.0,58.0,45.0
57922103,COPPELL ISD,AUSTIN ELEM.,4,INDEPENDENT,161 S MOORE,COPPELL,75019-5750,21.0,64.0,45.0,35.0
57922105,COPPELL ISD,MOCKINGBIRD ELE,4,INDEPENDENT,300 MOCKINGBIRD,COPPELL,75019-4142,12.0,85.0,75.0,60.0
57922106,COPPELL ISD,WILSON ELEM.,4,INDEPENDENT,200 S COPPELL RD,COPPELL,75019-2415,8.0,48.0,43.0,29.0
57922107,COPPELL ISD,LAKESIDE ELEM.,4,INDEPENDENT,1100 VILLAGE PKWY,COPPELL,75019-6304,8.0,107.0,88.0,66.0
57922108,COPPELL ISD,TOWN CENTER ELE,4,INDEPENDENT,185 N HEARTZ RD,COPPELL,75019-5813,6.0,81.0,71.0,58.0
57922109,COPPELL ISD,COTTONWOOD CREE,4,INDEPENDENT,615 MINYARD,COPPELL,75019-2014,14.0,81.0,64.0,50.0
57922110,COPPELL ISD,VALLEY RANCH EL,4,INDEPENDENT,9800 RODEO DR,IRVING,75063-6488,4.0,106.0,94.0,80.0
57922111,COPPELL ISD,DENTON CREEK EL,4,INDEPENDENT,250 NATCHES TRACE,COPPELL,75019,5.0,79.0,70.0,53.0
57922112,COPPELL ISD,RICHARD J. LEE,4,INDEPENDENT,8808 CHAPARRAL WATERS WAY,DALLAS,75019,8.0,133.0,116.0,97.0
58902001,DAWSON ISD,DAWSON SCHOOL,4,INDEPENDENT,P O BOX 180,WELCH,79377-0180,5.0,6.0,3.0,1.0
58905001,KLONDIKE ISD,KLONDIKE ISD,4,INDEPENDENT,2911 COUNTY RD H,LAMESA,79331-4945,1.0,19.0,14.0,10.0
58906103,LAMESA ISD,NORTH ELEM.,4,,,,,55.0,70.0,41.0,25.0
58909001,SANDS CISD,SANDS CISD,4,INDEPENDENT,P O BOX 218,ACKERLY,79713-0218,6.0,10.0,7.0,3.0
59901101,HEREFORD ISD,AIKMAN ELEM.,4,INDEPENDENT,900 AVE K,HEREFORD,79045-3603,12.0,55.0,34.0,20.0
59901102,HEREFORD ISD,BLUEBONNET ELEM,4,INDEPENDENT,221 16TH ST,HEREFORD,79045-3112,24.0,57.0,16.0,2.0
59901103,HEREFORD ISD,WEST CENTRAL EL,4,INDEPENDENT,120 CAMPBELL ST,HEREFORD,79045-4901,27.0,27.0,11.0,4.0
59901104,HEREFORD ISD,NORTHWEST ELEM.,4,INDEPENDENT,400 MOREMAN,HEREFORD,79045-2804,33.0,52.0,31.0,15.0
59902101,WALCOTT ISD,WALCOTT ELEM.,4,INDEPENDENT,4275 HWY 214,HEREFORD,79045,1.0,16.0,4.0,1.0
60902101,COOPER ISD,COOPER ELEM.,4,INDEPENDENT,P O BOX 272,COOPER,75432,31.0,30.0,13.0,6.0
60914102,FANNINDEL ISD,FANNINDEL ELEM.,4,INDEPENDENT,409 W MAIN,PECAN GAP,75469,4.0,4.0,2.0,1.0
61802003,NORTH TEXAS COL,NORTH TEXAS COL,4,CHARTER,4601 N 1-35,DENTON,76207,12.0,4.0,1.0,0.0
61802004,NORTH TEXAS COL,NORTH TEXAS COL,4,CHARTER,4601 N 1-35,DENTON,76207,12.0,8.0,5.0,3.0
61802005,NORTH TEXAS COL,NORTH TEXAS COL,4,CHARTER,1851 OAK GROVE PKWY,LITTLE ELM,75068,7.0,4.0,2.0,2.0
61804002,LEADERSHIP PREP,LEADERSHIP PREP,4,CHARTER,8100 TEEL PKWY,FRISCO,75034,2.0,98.0,75.0,53.0
61805001,TRIVIUM ACADEMY,TRIVIUM ACAD.,4,CHARTER,2205 E HEBRON PKWY,CARROLLTON,75010,8.0,40.0,29.0,20.0
61901102,DENTON ISD,HOUSTON ELEM.,4,INDEPENDENT,3100 TEASLEY,DENTON,76205-8093,13.0,80.0,59.0,34.0
61901104,DENTON ISD,ALICE MOORE ALE,4,INDEPENDENT,800 MACK PL,DENTON,76201-6314,21.0,70.0,45.0,26.0
61901105,DENTON ISD,HODGE ELEM.,4,INDEPENDENT,3900 GRANT PKWY,DENTON,76208-3412,16.0,84.0,39.0,16.0
61901106,DENTON ISD,MCNAIR ELEM.,4,INDEPENDENT,1212 HICKORY CREEK RD,DENTON,76210,17.0,78.0,53.0,35.0
61901107,DENTON ISD,NEWTON RAYZOR E,4,INDEPENDENT,1400 MALONE,DENTON,76201-2692,26.0,68.0,53.0,31.0
61901108,DENTON ISD,RIVERA ELEM.,4,INDEPENDENT,701 NEWTON ST,DENTON,76205-6234,17.0,68.0,43.0,22.0
61901109,DENTON ISD,WILSON ELEM.,4,INDEPENDENT,1306 E WINDSOR ST,DENTON,76209,15.0,94.0,53.0,33.0
61901110,DENTON ISD,GINNINGS ELEM.,4,INDEPENDENT,2525 YELLOWSTONE,DENTON,76209,28.0,66.0,39.0,25.0
61901111,DENTON ISD,BORMAN ELEM.,4,INDEPENDENT,1201 PARVIN,DENTON,76205-6715,19.0,34.0,22.0,10.0
61901112,DENTON ISD,EVERS PARK ELEM,4,INDEPENDENT,3300 EVERS PKWY,DENTON,76207-7208,22.0,83.0,58.0,39.0
61901113,DENTON ISD,RYAN ELEM.,4,INDEPENDENT,201 W RYAN RD,DENTON,76210,10.0,69.0,48.0,33.0
61901115,DENTON ISD,E.P. RAYZOR ELE,4,INDEPENDENT,377 RAYZOR RD,ARGYLE,76226-6658,7.0,61.0,48.0,35.0
61901116,DENTON ISD,PECAN CREEK ELE,4,INDEPENDENT,4400 LAKEVIEW BLVD,DENTON,76208,27.0,96.0,67.0,42.0
61901117,DENTON ISD,PROVIDENCE ELEM,4,INDEPENDENT,1000 FM 2931,AUBREY,76227,19.0,66.0,44.0,25.0
61901118,DENTON ISD,HAWK ELEM.,4,INDEPENDENT,2300 OAKMONT,CORINTH,76210,7.0,127.0,98.0,69.0
61901119,DENTON ISD,SAVANNAH ELEM.,4,INDEPENDENT,1101 COTTON EXCHANGE DR,AUBREY,76227,25.0,105.0,71.0,48.0
61901120,DENTON ISD,PALOMA CREEK EL,4,INDEPENDENT,1600 NAVO RD,AUBREY,76227,25.0,90.0,54.0,31.0
61901121,DENTON ISD,NELSON ELEM.,4,INDEPENDENT,3909 TEASLEY LN,DENTON,76210,18.0,89.0,67.0,42.0
61901122,DENTON ISD,BLANTON ELEM.,4,INDEPENDENT,9501 STACEE LN,ARGYLE,76266,12.0,66.0,53.0,37.0
61901123,DENTON ISD,STEPHENS ELEM.,4,INDEPENDENT,133 GARZA RD,SHADY SHORES,76208,9.0,58.0,38.0,25.0
61901125,DENTON ISD,CROSS OAKS ELEM,4,INDEPENDENT,600 LIBERTY BLVD,CROSS ROADS,76227,35.0,67.0,33.0,21.0
61901126,DENTON ISD,DOROTHY P. ADKI,4,INDEPENDENT,1701 MONAHAN DR,LANTANA,76226,13.0,61.0,40.0,30.0
61901127,DENTON ISD,CATHERINE BELL,4,INDEPENDENT,601 VILLA PALOMA BLVD,LITTLE ELM,75068,44.0,96.0,54.0,32.0
61902005,LEWISVILLE ISD,LEARNING CENTER,4,INDEPENDENT,1601 S EDMONDS LN,LEWISVILLE,75067-5802,,,,
61902101,LEWISVILLE ISD,CENTRAL ELEM.,4,INDEPENDENT,400 HIGH SCHOOL DR,LEWISVILLE,75057-3635,49.0,41.0,14.0,7.0
61902102,LEWISVILLE ISD,COLLEGE STREET,4,,,,,16.0,27.0,12.0,7.0
61902104,LEWISVILLE ISD,LAKELAND ELEM.,4,INDEPENDENT,800 FOX AVE,LEWISVILLE,75067-4552,65.0,70.0,38.0,19.0
61902105,LEWISVILLE ISD,HEDRICK ELEM.,4,,,,,32.0,36.0,11.0,5.0
61902106,LEWISVILLE ISD,DEGAN ELEM.,4,INDEPENDENT,1680 COLLEGE PKWY,LEWISVILLE,75077-2708,23.0,66.0,36.0,20.0
61902107,LEWISVILLE ISD,CAMEY ELEM.,4,INDEPENDENT,4949 ARBOR GLEN RD,THE COLONY,75056-2430,25.0,55.0,27.0,11.0
61902108,LEWISVILLE ISD,TIMBER CREEK EL,4,INDEPENDENT,1900 TIMBER CREEK RD,FLOWER MOUND,75028-1148,11.0,56.0,35.0,21.0
61902109,LEWISVILLE ISD,PETERS COLONY E,4,INDEPENDENT,5101 NASH DR,THE COLONY,75056-1700,20.0,88.0,50.0,29.0
61902110,LEWISVILLE ISD,HIGHLAND VILLAG,4,INDEPENDENT,301 BRAZOS BLVD,HIGHLAND VILLAGE,75077-7264,12.0,47.0,31.0,16.0
61902111,LEWISVILLE ISD,STEWARTS CREEK,4,INDEPENDENT,4431 AUGUSTA ST,THE COLONY,75056-3520,17.0,34.0,14.0,8.0
61902112,LEWISVILLE ISD,FLOWER MOUND EL,4,INDEPENDENT,4101 CHURCHILL DR,FLOWER MOUND,75028-1527,8.0,81.0,50.0,25.0
61902113,LEWISVILLE ISD,INDIAN CREEK EL,4,INDEPENDENT,2050 ARBOR CREEK DR,CARROLLTON,75010-4016,35.0,53.0,27.0,12.0
61902114,LEWISVILLE ISD,MCAULIFFE ELEM.,4,INDEPENDENT,2300 BRIARHILL BLVD,HIGHLAND VILLAGE,75077-7060,12.0,81.0,51.0,24.0
61902115,LEWISVILLE ISD,B.B. OWEN ELEM.,4,INDEPENDENT,5640 SQUIRES DR,THE COLONY,75056-1465,10.0,33.0,22.0,12.0
61902116,LEWISVILLE ISD,CREEKSIDE ELEM.,4,INDEPENDENT,901 VALLEY VIEW DR,LEWISVILLE,75067-6141,19.0,66.0,44.0,29.0
61902117,LEWISVILLE ISD,DONALD ELEM.,4,INDEPENDENT,2400 FOREST VISTA DR,FLOWER MOUND,75028-4674,15.0,75.0,54.0,33.0
61902118,LEWISVILLE ISD,HEBRON VALLEY E,4,INDEPENDENT,4108 CREEK VALLEY BLVD,CARROLLTON,75010-1100,19.0,70.0,44.0,20.0
61902119,LEWISVILLE ISD,ETHRIDGE ELEM.,4,INDEPENDENT,6001 ETHRIDGE DR,THE COLONY,75056-3611,21.0,57.0,31.0,22.0
61902120,LEWISVILLE ISD,GARDEN RIDGE EL,4,INDEPENDENT,2220 S GARDEN RIDGE BLVD,FLOWER MOUND,75028-7270,7.0,61.0,47.0,33.0
61902121,LEWISVILLE ISD,MORNINGSIDE ELE,4,INDEPENDENT,6350 PAIGE RD,THE COLONY,75056-1846,14.0,51.0,30.0,16.0
61902122,LEWISVILLE ISD,HERITAGE ELEM.,4,INDEPENDENT,100 BARNETT BLVD,HIGHLAND VILLAGE,75077-3176,14.0,100.0,67.0,39.0
61902123,LEWISVILLE ISD,OLD SETTLERS EL,4,INDEPENDENT,2525 OLD SETTLERS RD,FLOWER MOUND,75022-4724,18.0,87.0,70.0,48.0
61902124,LEWISVILLE ISD,PARKWAY ELEM.,4,INDEPENDENT,2100 S VALLEY PKWY,LEWISVILLE,75067-7498,16.0,59.0,29.0,15.0
61902125,LEWISVILLE ISD,POLSER ELEM.,4,INDEPENDENT,1520 POLSER RD,CARROLLTON,75010-1220,14.0,29.0,15.0,7.0
61902126,LEWISVILLE ISD,PRAIRIE TRAIL E,4,INDEPENDENT,5555 TIMBER CREEK RD,FLOWER MOUND,75028-3816,25.0,99.0,73.0,52.0
61902127,LEWISVILLE ISD,VALLEY RIDGE EL,4,INDEPENDENT,1604 N GARDEN RIDGE BLVD,LEWISVILLE,75077-2155,23.0,52.0,33.0,17.0
61902128,LEWISVILLE ISD,FOREST VISTA EL,4,INDEPENDENT,900 FOREST VISTA DR,FLOWER MOUND,75028-3459,12.0,62.0,45.0,28.0
61902129,LEWISVILLE ISD,BRIDLEWOOD ELEM,4,INDEPENDENT,4901 REMINGTON PARK DR,FLOWER MOUND,75028-3096,4.0,70.0,55.0,34.0
61902130,LEWISVILLE ISD,WELLINGTON ELEM,4,INDEPENDENT,3900 KENWOOD DR,FLOWER MOUND,75022-2863,6.0,150.0,119.0,86.0
61902131,LEWISVILLE ISD,SOUTHRIDGE ELEM,4,INDEPENDENT,495 W CORPORATE DR,LEWISVILLE,75067-7896,21.0,84.0,49.0,29.0
61902132,LEWISVILLE ISD,HOMESTEAD ELEM.,4,INDEPENDENT,1830 E BRANCH HOLLOW DR,CARROLLTON,75007-1410,18.0,83.0,55.0,32.0
61902133,LEWISVILLE ISD,BLUEBONNET ELEM,4,INDEPENDENT,2000 SPINKS RD,FLOWER MOUND,75028-4261,1.0,87.0,80.0,63.0
61902134,LEWISVILLE ISD,TOM HICKS ELEM.,4,INDEPENDENT,3651 COMPASS DR,FRISCO,75034-8940,12.0,84.0,59.0,38.0
