CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level Hispanic,Below Grade Level Asian,Below Grade Level Black,Below Grade Level White,Approach Grade Level Hispanic,Approach Grade Level Asian,Approach Grade Level Black,Approach Grade Level White,Meet Grade Level Hispanic,Meet Grade Level Asian,Meet Grade Level Black,Meet Grade Level White,Master Grade Level Hispanic,Master Grade Level Asian,Master Grade Level Black,Master Grade Level White
15915228,NORTHSIDE ISD,COLE ELEM.,3,INDEPENDENT,13185 TILLMAN RIDGE,SAN ANTONIO,78253,12.0,0.0,3.0,5.0,61.0,0.0,8.0,25.0,35.0,0.0,5.0,23.0,22.0,0.0,2.0,14.0
15915230,NORTHSIDE ISD,MCANDREW ELEM.,3,INDEPENDENT,26615 TOUTANT BEAUREGARD,SAN ANTONIO,78006,2.0,0.0,0.0,1.0,23.0,0.0,0.0,26.0,16.0,0.0,0.0,21.0,9.0,0.0,0.0,10.0
15915234,NORTHSIDE ISD,ELLISON ELEM.,3,INDEPENDENT,7132 OAK DR,SAN ANTONIO,78256,9.0,0.0,0.0,1.0,35.0,7.0,5.0,23.0,25.0,4.0,2.0,20.0,13.0,2.0,0.0,13.0
15915236,NORTHSIDE ISD,LOS REYES ELEM.,3,INDEPENDENT,10785 TRIANA PKWY,HELOTES,78023,6.0,0.0,0.0,0.0,41.0,0.0,0.0,44.0,29.0,0.0,0.0,39.0,12.0,0.0,0.0,29.0
15916101,JUDSON ISD,CONVERSE ELEM.,3,INDEPENDENT,6720 FM 1516,CONVERSE,78109,12.0,0.0,7.0,4.0,20.0,0.0,9.0,16.0,7.0,0.0,2.0,9.0,2.0,0.0,1.0,4.0
15916102,JUDSON ISD,HOPKINS ELEM.,3,INDEPENDENT,2440 ACKERMAN RD,SAN ANTONIO,78219-2114,21.0,0.0,8.0,7.0,48.0,0.0,5.0,8.0,21.0,0.0,1.0,6.0,8.0,0.0,0.0,1.0
15916103,JUDSON ISD,ED FRANZ ELEM.,3,INDEPENDENT,12301 WELCOME DR,SAN ANTONIO,78233-2599,13.0,0.0,2.0,1.0,24.0,0.0,3.0,5.0,15.0,0.0,1.0,5.0,7.0,0.0,0.0,1.0
15916104,JUDSON ISD,CORONADO VILLAG,3,INDEPENDENT,213 AMISTAD BLVD,UNIVERSAL CITY,78148-3199,8.0,0.0,0.0,1.0,38.0,0.0,0.0,7.0,21.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0
15916105,JUDSON ISD,PARK VILLAGE EL,3,INDEPENDENT,5855 E MIDCROWN DR,SAN ANTONIO,78218-4199,11.0,0.0,10.0,0.0,26.0,0.0,18.0,0.0,12.0,0.0,8.0,0.0,3.0,0.0,2.0,0.0
15916106,JUDSON ISD,CRESTVIEW ELEM.,3,INDEPENDENT,7710 NARROW PASS,SAN ANTONIO,78233-2999,1.0,0.0,0.0,1.0,46.0,0.0,10.0,21.0,38.0,0.0,5.0,16.0,22.0,0.0,3.0,12.0
15916107,JUDSON ISD,WOODLAKE ELEM.,3,INDEPENDENT,5501 LK BEND E,SAN ANTONIO,78244-1699,9.0,0.0,8.0,1.0,21.0,0.0,20.0,5.0,13.0,0.0,9.0,4.0,4.0,0.0,3.0,3.0
15916109,JUDSON ISD,OLYMPIA ELEM.,3,INDEPENDENT,8439 ATHENIAN,UNIVERSAL CITY,78148-2601,2.0,0.0,2.0,4.0,28.0,0.0,5.0,19.0,21.0,0.0,3.0,15.0,10.0,0.0,0.0,7.0
15916110,JUDSON ISD,SPRING MEADOWS,3,INDEPENDENT,7135 ELM TRL,SAN ANTONIO,78244-1869,7.0,0.0,6.0,4.0,49.0,0.0,5.0,4.0,29.0,0.0,2.0,3.0,15.0,0.0,0.0,1.0
15916111,JUDSON ISD,MILLER POINT EL,3,INDEPENDENT,7027 MISTY RDG,CONVERSE,78109-2756,14.0,0.0,4.0,2.0,38.0,0.0,4.0,19.0,25.0,0.0,3.0,17.0,12.0,0.0,0.0,7.0
15916112,JUDSON ISD,CANDLEWOOD ELEM,3,INDEPENDENT,3635 CANDLEGLEN,SAN ANTONIO,78244-0249,18.0,0.0,9.0,3.0,35.0,0.0,9.0,8.0,16.0,0.0,4.0,7.0,10.0,0.0,3.0,4.0
15916113,JUDSON ISD,ELOLF ELEM.,3,INDEPENDENT,6335 BEECH TRL,CONVERSE,78109-3352,8.0,0.0,7.0,2.0,26.0,0.0,15.0,4.0,18.0,0.0,4.0,1.0,7.0,0.0,3.0,0.0
15916114,JUDSON ISD,WILLIAM PASCHAL,3,INDEPENDENT,6351 LAKEVIEW DR,SAN ANTONIO,78244,13.0,0.0,8.0,1.0,34.0,0.0,19.0,5.0,14.0,0.0,9.0,4.0,3.0,0.0,5.0,4.0
15916115,JUDSON ISD,MARY LOU HARTMA,3,INDEPENDENT,7203 WOODLAKE PKWY,SAN ANTONIO,78218,10.0,2.0,5.0,3.0,37.0,3.0,12.0,4.0,20.0,0.0,9.0,2.0,6.0,0.0,5.0,1.0
15916116,JUDSON ISD,RICARDO SALINAS,3,INDEPENDENT,10560 OLD CIMMARON TRL,UNIVERSAL CITY,78148,15.0,1.0,6.0,5.0,41.0,4.0,14.0,24.0,18.0,3.0,6.0,13.0,7.0,1.0,3.0,3.0
15916117,JUDSON ISD,JAMES L. MASTER,3,INDEPENDENT,2650 WOODLAKE PKWY,CONVERSE,78109,3.0,0.0,7.0,0.0,29.0,0.0,15.0,0.0,7.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0
15916118,JUDSON ISD,ROLLING MEADOWS,3,INDEPENDENT,17222 FM 2252,SAN ANTONIO,78233,9.0,0.0,1.0,5.0,50.0,0.0,10.0,20.0,32.0,0.0,6.0,15.0,16.0,0.0,4.0,10.0
15916119,JUDSON ISD,COPPERFIELD ELE,3,INDEPENDENT,7595 E LOOP 1604 N,CONVERSE,78109-2915,18.0,0.0,14.0,3.0,34.0,0.0,17.0,8.0,20.0,0.0,9.0,6.0,9.0,0.0,6.0,3.0
15916123,JUDSON ISD,ESCONDIDO ELEM.,3,INDEPENDENT,5000 TEXAS PALM,CONVERSE,78109,10.0,0.0,4.0,1.0,28.0,0.0,15.0,8.0,19.0,0.0,7.0,2.0,5.0,0.0,2.0,2.0
15916124,JUDSON ISD,WORTHAM OAKS EL,3,INDEPENDENT,5710 CARRIAGE CAPE,SAN ANTONIO,78261-1111,0.0,0.0,0.0,0.0,21.0,0.0,9.0,8.0,15.0,0.0,7.0,8.0,4.0,0.0,5.0,7.0
15917102,SOUTHSIDE ISD,W.M. PEARCE PRI,3,INDEPENDENT,19190 HWY 281 S #3,SAN ANTONIO,78221-9648,21.0,0.0,0.0,4.0,38.0,0.0,0.0,3.0,18.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0
15917104,SOUTHSIDE ISD,HERITAGE ELEM.,3,INDEPENDENT,3223 S LOOP 1604 E,SAN ANTONIO,78264,11.0,0.0,0.0,0.0,42.0,0.0,0.0,8.0,24.0,0.0,0.0,5.0,10.0,0.0,0.0,3.0
15917105,SOUTHSIDE ISD,FREEDOM ELEM.,3,INDEPENDENT,3845 S LOOP 1604 E,SAN ANTONIO,78264,34.0,0.0,0.0,4.0,38.0,0.0,0.0,8.0,20.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0
15917106,SOUTHSIDE ISD,JULIAN C. GALLA,3,INDEPENDENT,1300 DEL LAGORD,SAN ANTONIO,78221-9648,45.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
16901101,JOHNSON CITY IS,LYNDON B. JOHNS,3,INDEPENDENT,401 E PECAN ST,JOHNSON CITY,78636-0498,3.0,0.0,0.0,2.0,10.0,0.0,0.0,29.0,4.0,0.0,0.0,21.0,2.0,0.0,0.0,12.0
16902101,BLANCO ISD,BLANCO ELEM.,3,INDEPENDENT,814 ELEVENTH ST,BLANCO,78606,7.0,0.0,0.0,2.0,25.0,0.0,0.0,29.0,18.0,0.0,0.0,19.0,8.0,0.0,0.0,13.0
17901001,BORDEN COUNTY I,BORDEN COUNTY S,3,INDEPENDENT,240 W KINCAID ST,GAIL,79738-0095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0
18901101,CLIFTON ISD,CLIFTON ELEM.,3,INDEPENDENT,1000 KEY AVE,CLIFTON,76634-2107,9.0,0.0,0.0,12.0,20.0,0.0,0.0,20.0,9.0,0.0,0.0,14.0,4.0,0.0,0.0,9.0
18902101,MERIDIAN ISD,MERIDIAN ELEM.,3,INDEPENDENT,550 CR 2515,MERIDIAN,76665-0349,2.0,0.0,0.0,3.0,5.0,0.0,0.0,18.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0
18903001,MORGAN ISD,MORGAN SCHOOL,3,INDEPENDENT,1306 CHARLES ST,MORGAN,76671-0300,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
18904101,VALLEY MILLS IS,VALLEY MILLS EL,3,INDEPENDENT,102 W AVE C,VALLEY MILLS,76689-0518,3.0,0.0,0.0,0.0,12.0,0.0,0.0,27.0,7.0,0.0,0.0,18.0,2.0,0.0,0.0,9.0
18905003,WALNUT SPRINGS,WALNUT SPRINGS,3,INDEPENDENT,184 AVE A,WALNUT SPRINGS,76690,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18906001,IREDELL ISD,IREDELL SCHOOL,3,INDEPENDENT,501 MCLAIN ST,IREDELL,76649-0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
18907001,KOPPERL ISD,KOPPERL SCHOOL,3,INDEPENDENT,175 CR 1240,KOPPERL,76652-0067,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
18908001,CRANFILLS GAP I,CRANFILLS GAP S,3,INDEPENDENT,505 S 2ND ST,CRANFILLS GAP,76637,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19901102,DEKALB ISD,DEKALB ELEM.,3,INDEPENDENT,101 W FANNIN ST,DEKALB,75559-1614,2.0,0.0,3.0,4.0,7.0,0.0,10.0,21.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,4.0
19902102,HOOKS ISD,HOOKS ELEM.,3,INDEPENDENT,401 PRECINCT RD,HOOKS,75561-0189,0.0,0.0,2.0,9.0,0.0,0.0,6.0,34.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,8.0
19903001,MAUD ISD,MAUD SCHOOL,3,INDEPENDENT,389 HOUSTON DR,MAUD,75567,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,13.0
19905101,NEW BOSTON ISD,CRESTVIEW ELEM.,3,INDEPENDENT,604 N MCCOY BLVD,NEW BOSTON,75570-2399,1.0,0.0,11.0,15.0,11.0,0.0,13.0,34.0,1.0,0.0,4.0,23.0,0.0,0.0,2.0,12.0
19906101,REDWATER ISD,REDWATER ELEM.,3,INDEPENDENT,206 RED RIVER RD N,REDWATER,75573,0.0,0.0,0.0,12.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,16.0
19907105,TEXARKANA ISD,HIGHLAND PARK E,3,INDEPENDENT,401 W 25TH ST,TEXARKANA,75503-4200,7.0,0.0,4.0,2.0,19.0,0.0,15.0,9.0,6.0,0.0,5.0,4.0,2.0,0.0,1.0,2.0
19907108,TEXARKANA ISD,WESTLAWN ELEM.,3,INDEPENDENT,410 WESTLAWN DR,TEXARKANA,75501-4099,14.0,0.0,12.0,0.0,1.0,0.0,58.0,6.0,1.0,0.0,26.0,3.0,1.0,0.0,5.0,0.0
19907109,TEXARKANA ISD,NASH ELEM.,3,INDEPENDENT,100 E BURTON ST,NASH,75569-2502,8.0,0.0,6.0,2.0,19.0,0.0,24.0,38.0,4.0,0.0,7.0,22.0,3.0,0.0,2.0,12.0
19907111,TEXARKANA ISD,SPRING LAKE PAR,3,INDEPENDENT,4324 GHIO FISH BLVD,TEXARKANA,75503-3004,0.0,0.0,16.0,0.0,0.0,0.0,23.0,12.0,0.0,0.0,11.0,2.0,0.0,0.0,3.0,0.0
19907113,TEXARKANA ISD,WAKE VILLAGE EL,3,INDEPENDENT,400 WILDCAT DR,WAKE VILLAGE,75501-5999,1.0,0.0,9.0,6.0,9.0,0.0,28.0,27.0,7.0,0.0,16.0,19.0,4.0,0.0,5.0,8.0
19907116,TEXARKANA ISD,MARTHA AND JOSH,3,INDEPENDENT,4826 UNIVERSITY PARK,TEXARKANA,75503,0.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,0.0,0.0,5.0,47.0,0.0,0.0,1.0,29.0
19907117,TEXARKANA ISD,WAGGONER CREEK,3,INDEPENDENT,6335 GIBSON LN,TEXARKANA,75503,0.0,0.0,2.0,4.0,0.0,0.0,11.0,21.0,0.0,0.0,3.0,10.0,0.0,0.0,3.0,4.0
19908103,LIBERTY-EYLAU I,LIBERTY-EYLAU E,3,INDEPENDENT,5492 US-59,TEXARKANA,75501-7599,2.0,0.0,26.0,9.0,8.0,0.0,42.0,43.0,4.0,0.0,21.0,27.0,2.0,0.0,7.0,15.0
19909101,SIMMS ISD,JAMES BOWIE ELE,3,INDEPENDENT,7497 US HWY 67 W,SIMMS,75574-0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,14.0
19910101,MALTA ISD,MALTA ELEM.,3,INDEPENDENT,6178 W US HWY 82,NEW BOSTON,75570-9500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0
19911101,RED LICK ISD,RED LICK ELEM.,3,INDEPENDENT,3511 N F M 2148,TEXARKANA,75503-4821,0.0,0.0,0.0,4.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,26.0
19912200,PLEASANT GROVE,PLEASANT GROVE,3,INDEPENDENT,8480 N KINGS HWY,TEXARKANA,75503,0.0,0.0,4.0,8.0,13.0,0.0,21.0,74.0,10.0,0.0,16.0,56.0,6.0,0.0,9.0,42.0
19913101,HUBBARD ISD,HUBBARD ISD,3,INDEPENDENT,3347 US HWY 259 S,DEKALB,75559,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19914101,LEARY ISD,LEARY ELEM.,3,INDEPENDENT,9500 W NEW BOSTON RD,TEXARKANA,75501-0519,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20901101,ALVIN ISD,ALVIN ELEM.,3,INDEPENDENT,1910 ROSHARON RD,ALVIN,77511-2702,23.0,1.0,2.0,18.0,47.0,8.0,4.0,42.0,17.0,3.0,2.0,24.0,8.0,3.0,2.0,13.0
20901103,ALVIN ISD,MARK TWAIN ELEM,3,INDEPENDENT,345 KENDALL CREST DR,ALVIN,77511,25.0,0.0,0.0,0.0,71.0,0.0,0.0,24.0,32.0,0.0,0.0,13.0,17.0,0.0,0.0,5.0
20901104,ALVIN ISD,BILL HASSE ELEM,3,INDEPENDENT,1200 E HOUSE ST,ALVIN,77511,20.0,0.0,3.0,7.0,33.0,0.0,6.0,47.0,14.0,0.0,1.0,34.0,9.0,0.0,0.0,24.0
20901105,ALVIN ISD,E.C. MASON ELEM,3,INDEPENDENT,7400 LEWIS LN,MANVEL,77578-4772,13.0,0.0,3.0,13.0,29.0,0.0,6.0,42.0,14.0,0.0,2.0,18.0,7.0,0.0,1.0,10.0
20901107,ALVIN ISD,WALT DISNEY ELE,3,INDEPENDENT,5000 MUSTANG RD,ALVIN,77511-2702,18.0,0.0,0.0,9.0,74.0,0.0,0.0,44.0,37.0,0.0,0.0,27.0,17.0,0.0,0.0,16.0
20901108,ALVIN ISD,MELBA PASSMORE,3,INDEPENDENT,600 E KOST RD,ALVIN,77511-2644,19.0,0.0,2.0,8.0,42.0,0.0,3.0,28.0,27.0,0.0,1.0,21.0,17.0,0.0,0.0,10.0
20901109,ALVIN ISD,HOOD-CASE ELEM.,3,INDEPENDENT,1450 HTS RD,ALVIN,77511-2702,9.0,0.0,0.0,3.0,59.0,0.0,0.0,22.0,38.0,0.0,0.0,18.0,17.0,0.0,0.0,14.0
20901110,ALVIN ISD,DON JETER ELEM.,3,INDEPENDENT,2455 COUNTY RD 58,ROSHARON,77583,12.0,1.0,4.0,0.0,47.0,6.0,26.0,9.0,25.0,3.0,14.0,7.0,14.0,2.0,6.0,2.0
20901111,ALVIN ISD,MARY BURKS MARE,3,INDEPENDENT,1947 KIRBY DR,PEARLAND,77584,2.0,0.0,4.0,1.0,14.0,12.0,35.0,15.0,6.0,11.0,23.0,13.0,4.0,11.0,10.0,7.0
20901112,ALVIN ISD,LAURA INGALLS W,3,INDEPENDENT,2225 KINGSLEY,PEARLAND,77584,1.0,0.0,8.0,0.0,25.0,32.0,31.0,31.0,17.0,29.0,23.0,24.0,10.0,21.0,18.0,22.0
20901113,ALVIN ISD,SAVANNAH LAKES,3,INDEPENDENT,5151 SAVANNAH PKWY,ROSHARON,77583,15.0,0.0,7.0,3.0,47.0,8.0,55.0,9.0,22.0,5.0,35.0,4.0,10.0,2.0,23.0,2.0
20901114,ALVIN ISD,GLENN YORK ELEM,3,INDEPENDENT,2720 KINGSLEY DR,PEARLAND,77584,2.0,1.0,6.0,1.0,26.0,44.0,35.0,22.0,19.0,40.0,29.0,20.0,11.0,34.0,15.0,16.0
20901115,ALVIN ISD,RED DUKE ELEM.,3,INDEPENDENT,11330 MAGNOLIA PKWY,MANVEL,77578,1.0,2.0,10.0,2.0,12.0,14.0,23.0,21.0,7.0,11.0,8.0,14.0,3.0,7.0,5.0,11.0
20901116,ALVIN ISD,MERIDIANA ELEM.,3,INDEPENDENT,9815 MERIDIANA PKWY,IOWA COLONY,77583,15.0,1.0,13.0,5.0,34.0,5.0,32.0,35.0,19.0,2.0,15.0,17.0,5.0,2.0,4.0,9.0
20901117,ALVIN ISD,SHIRLEY DILL BR,3,INDEPENDENT,2910 HALF MOON BAY DR,PEARLAND,77584,5.0,3.0,15.0,2.0,20.0,27.0,47.0,30.0,15.0,25.0,28.0,25.0,11.0,19.0,10.0,17.0
20901118,ALVIN ISD,POMONA ELEM.,3,INDEPENDENT,4480 KIRBY DR,MANVEL,77578,2.0,0.0,7.0,1.0,20.0,11.0,33.0,12.0,13.0,11.0,21.0,9.0,8.0,9.0,12.0,6.0
20902102,ANGLETON ISD,NORTHSIDE ELEM.,3,INDEPENDENT,1001 RIDGECREST DR,ANGLETON,77515-3599,7.0,0.0,2.0,5.0,19.0,0.0,4.0,38.0,6.0,0.0,2.0,26.0,5.0,0.0,1.0,13.0
20902103,ANGLETON ISD,SOUTHSIDE ELEM.,3,INDEPENDENT,1200 PARK LN,ANGLETON,77515-5399,6.0,0.0,0.0,5.0,12.0,0.0,0.0,19.0,3.0,0.0,0.0,13.0,2.0,0.0,0.0,6.0
20902104,ANGLETON ISD,WESTSIDE ELEM.,3,INDEPENDENT,1001 W MULBERRY,ANGLETON,77515-4899,25.0,0.0,6.0,5.0,81.0,0.0,13.0,34.0,45.0,0.0,2.0,12.0,21.0,0.0,0.0,4.0
20902108,ANGLETON ISD,RANCHO ISABELLA,3,INDEPENDENT,100 CORRAL LOOP,ANGLETON,77515-3706,2.0,0.0,0.0,6.0,15.0,0.0,5.0,23.0,6.0,0.0,2.0,8.0,2.0,0.0,0.0,2.0
20902109,ANGLETON ISD,FRONTIER ELEM.,3,INDEPENDENT,5200 AIRLINE DR,ANGLETON,77515-3799,3.0,0.0,2.0,5.0,22.0,0.0,8.0,35.0,17.0,0.0,3.0,18.0,6.0,0.0,1.0,8.0
20902110,ANGLETON ISD,CENTRAL ELEM.,3,INDEPENDENT,429 E LOCUST ST,ANGLETON,77515,4.0,0.0,0.0,4.0,16.0,0.0,0.0,21.0,12.0,0.0,0.0,7.0,5.0,0.0,0.0,3.0
20904101,DANBURY ISD,DANBURY ELEM.,3,INDEPENDENT,2222 AVE F,DANBURY,77534,4.0,0.0,0.0,9.0,9.0,0.0,0.0,27.0,4.0,0.0,0.0,17.0,2.0,0.0,0.0,9.0
20905101,BRAZOSPORT ISD,S.F. AUSTIN ELE,3,INDEPENDENT,7351 STEPHEN F AUSTIN RD,JONES CREEK,77541,2.0,0.0,0.0,2.0,18.0,0.0,0.0,19.0,12.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0
20905102,BRAZOSPORT ISD,A.P. BEUTEL ELE,3,INDEPENDENT,300 LIGUSTRUM ST,LAKE JACKSON,77566-5899,3.0,0.0,0.0,5.0,50.0,0.0,0.0,59.0,33.0,0.0,0.0,43.0,12.0,0.0,0.0,24.0
20905107,BRAZOSPORT ISD,ELISABET NEY EL,3,INDEPENDENT,308 WINDING WAY ST,LAKE JACKSON,77566-5311,15.0,0.0,0.0,3.0,34.0,0.0,0.0,43.0,14.0,0.0,0.0,32.0,5.0,0.0,0.0,17.0
20905108,BRAZOSPORT ISD,T.W. OGG ELEM.,3,INDEPENDENT,208 N LAZY LN,CLUTE,77531-4004,7.0,0.0,1.0,2.0,53.0,0.0,11.0,18.0,29.0,0.0,10.0,11.0,12.0,0.0,5.0,5.0
20905109,BRAZOSPORT ISD,O.M. ROBERTS EL,3,INDEPENDENT,110 S CEDAR ST,LAKE JACKSON,77566-6133,3.0,0.0,0.0,5.0,40.0,0.0,5.0,32.0,25.0,0.0,2.0,25.0,6.0,0.0,0.0,16.0
20905110,BRAZOSPORT ISD,VELASCO ELEM.,3,INDEPENDENT,401 N GULF BLVD,FREEPORT,77541-1926,24.0,0.0,10.0,5.0,101.0,0.0,12.0,21.0,78.0,0.0,8.0,13.0,37.0,0.0,4.0,5.0
20905111,BRAZOSPORT ISD,BESS BRANNEN EL,3,INDEPENDENT,802 THAT WAY ST,LAKE JACKSON,77566-4299,4.0,0.0,0.0,2.0,32.0,0.0,0.0,61.0,18.0,0.0,0.0,46.0,7.0,0.0,0.0,22.0
20905113,BRAZOSPORT ISD,GLADYS POLK ELE,3,INDEPENDENT,600 AUDUBON WOODS DR,RICHWOOD,77531,6.0,0.0,2.0,3.0,41.0,0.0,5.0,25.0,30.0,0.0,1.0,20.0,18.0,0.0,0.0,13.0
20905114,BRAZOSPORT ISD,GRIFFITH ELEM.,3,INDEPENDENT,401 COLLEGE DR,CLUTE,77531-9999,6.0,0.0,3.0,1.0,59.0,0.0,2.0,6.0,40.0,0.0,2.0,6.0,22.0,0.0,0.0,5.0
20906104,SWEENY ISD,SWEENY ELEM.,3,INDEPENDENT,905 SYCAMORE,SWEENY,77480-1399,7.0,0.0,8.0,21.0,29.0,0.0,5.0,56.0,11.0,0.0,2.0,28.0,3.0,0.0,0.0,16.0
20907102,COLUMBIA-BRAZOR,WEST COLUMBIA E,3,INDEPENDENT,711 S GRAY,WEST COLUMBIA,77486-3857,6.0,0.0,5.0,7.0,26.0,0.0,10.0,58.0,16.0,0.0,3.0,40.0,10.0,0.0,3.0,19.0
20907106,COLUMBIA-BRAZOR,WILD PEACH ELEM,3,INDEPENDENT,3311 COUNTY RD 353,BRAZORIA,77422,5.0,0.0,0.0,7.0,9.0,0.0,0.0,16.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0
20907107,COLUMBIA-BRAZOR,BARROW ELEM.,3,INDEPENDENT,112 GAINES,BRAZORIA,77422,9.0,0.0,0.0,13.0,12.0,0.0,0.0,38.0,4.0,0.0,0.0,20.0,2.0,0.0,0.0,9.0
20908101,PEARLAND ISD,E.A. LAWHON ELE,3,INDEPENDENT,5810 BROOKSIDE RD,PEARLAND,77581,13.0,0.0,1.0,5.0,72.0,9.0,15.0,29.0,52.0,8.0,9.0,23.0,31.0,7.0,4.0,15.0
20908102,PEARLAND ISD,C.J. HARRIS ELE,3,INDEPENDENT,2314 SCHLEIDER DR,PEARLAND,77581-4209,6.0,0.0,4.0,1.0,43.0,7.0,20.0,44.0,28.0,7.0,10.0,31.0,13.0,6.0,5.0,16.0
20908103,PEARLAND ISD,SHADYCREST ELEM,3,INDEPENDENT,2405 SHADY BEND DR,PEARLAND,77581-5412,0.0,1.0,0.0,2.0,37.0,4.0,8.0,85.0,26.0,4.0,6.0,75.0,13.0,2.0,4.0,44.0
20908104,PEARLAND ISD,H.C. CARLESTON,3,INDEPENDENT,3010 HARKEY RD,PEARLAND,77584,14.0,0.0,7.0,6.0,67.0,0.0,29.0,28.0,39.0,0.0,15.0,21.0,17.0,0.0,7.0,13.0
20908106,PEARLAND ISD,CHALLENGER ELEM,3,INDEPENDENT,9434 HUGHES RANCH RD,PEARLAND,77581,5.0,0.0,8.0,4.0,30.0,21.0,32.0,28.0,22.0,21.0,22.0,23.0,14.0,16.0,10.0,18.0
20908107,PEARLAND ISD,RUSTIC OAK ELEM,3,INDEPENDENT,1302 RUSTIC LN,PEARLAND,77581-6512,6.0,0.0,2.0,6.0,29.0,11.0,9.0,44.0,21.0,8.0,4.0,31.0,11.0,5.0,1.0,17.0
20908109,PEARLAND ISD,SILVERLAKE ELEM,3,INDEPENDENT,2550 CO RD NINETY,PEARLAND,77584-4845,3.0,0.0,4.0,7.0,19.0,42.0,14.0,42.0,13.0,39.0,10.0,33.0,6.0,32.0,7.0,28.0
20908110,PEARLAND ISD,SILVERCREST ELE,3,INDEPENDENT,3003 SOUTHWYCK PKWY,PEARLAND,77584-4899,0.0,0.0,2.0,3.0,8.0,42.0,20.0,64.0,7.0,40.0,16.0,59.0,4.0,35.0,8.0,44.0
20908112,PEARLAND ISD,MASSEY RANCH EL,3,INDEPENDENT,3900 MANVEL RD,PEARLAND,77584,13.0,1.0,6.0,2.0,32.0,8.0,22.0,47.0,23.0,8.0,12.0,38.0,11.0,7.0,6.0,27.0
20908113,PEARLAND ISD,BARBARA COCKREL,3,INDEPENDENT,3500 MCHARD RD,PEARLAND,77581,6.0,1.0,1.0,1.0,47.0,11.0,17.0,40.0,34.0,11.0,14.0,32.0,22.0,9.0,6.0,24.0
20908114,PEARLAND ISD,MAGNOLIA ELEM.,3,INDEPENDENT,5350 MAGNOLIA,PEARLAND,77584,13.0,0.0,1.0,6.0,69.0,6.0,11.0,64.0,43.0,4.0,5.0,47.0,23.0,3.0,2.0,25.0
20910101,DAMON ISD,DAMON ELEM.,3,INDEPENDENT,1211 MULCAHY ST/COUNTY RD 264,DAMON,77430-0429,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21803001,BRAZOS SCHOOL F,BRAZOS SCHOOL F,3,CHARTER,410 BETHEL LN,BRYAN,77802,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
21803102,BRAZOS SCHOOL F,BRAZOS SCHOOL F,3,CHARTER,1055 W TIDWELL RD,HOUSTON,77091,3.0,0.0,7.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21805041,ARROW ACADEMY,ARROW ACAD. - S,3,CHARTER,1700 GROESBECK ST,BRYAN,77803,2.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
