,Unnamed: 0,CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Full Address,Latitude,Longitude,Total Students,% Pass,Quadrant,random,university
875,887,46902123,COMAL ISD,OAK CREEK ELEM.,3,INDEPENDENT,3060 GOODWIN LN,NEW BRAUNFELS,78130,8.0,72.0,56.0,41.0,"3060 GOODWIN LN NEW BRAUNFELS,TX 78130",29.7501224,-98.07125079999999,177.0,54.80225988700565,SE,4731,1
2386,2419,101914127,KATY ISD,GRIFFIN ELEM.,3,INDEPENDENT,7800 S FRY RD,KATY,77494,3.0,130.0,97.0,64.0,"7800 S FRY RD KATY,TX 77494",29.720945500000003,-95.7852124,294.0,54.76190476190476,SE,4423,1
4095,4149,227901103,AUSTIN ISD,BARTON HILLS EL,3,INDEPENDENT,2108 BARTON HILLS DR,AUSTIN,78704-4699,5.0,53.0,42.0,28.0,"2108 BARTON HILLS DR AUSTIN,TX 78704-4699",30.2543951,-97.7833567,128.0,54.6875,SE,4448,1
747,758,43905144,FRISCO ISD,LISCANO ELEM.,3,INDEPENDENT,11222 MAMMOTH CAVE LN,FRISCO,75035,9.0,117.0,95.0,57.0,"11222 MAMMOTH CAVE LN FRISCO,TX 75035",33.1707409,-96.7602205,278.0,54.67625899280576,NE,2954,1
595,605,31901142,BROWNSVILLE ISD,PULLAM ELEM.,3,INDEPENDENT,3200 MADRID AVE,BROWNSVILLE,78520,5.0,102.0,80.0,49.0,"3200 MADRID AVE BROWNSVILLE,TX 78520",25.9689345,-97.5234551,236.0,54.66101694915254,SE,3038,1
2517,2550,101920118,SPRING BRANCH I,WILCHESTER ELEM,3,INDEPENDENT,13618 ST MARYS LN,HOUSTON,77079-3440,8.0,143.0,111.0,71.0,"13618 ST MARYS LN HOUSTON,TX 77079-3440",29.78273039999999,-95.5808459,333.0,54.65465465465466,SE,117,1
745,756,43905142,FRISCO ISD,VAUGHN ELEM.,3,INDEPENDENT,3535 GUINN GATE DR,FRISCO,75034,11.0,106.0,85.0,56.0,"3535 GUINN GATE DR FRISCO,TX 75034",33.1374457,-96.8592344,258.0,54.651162790697676,NE,3385,1
4104,4158,227901112,AUSTIN ISD,CASIS ELEM.,3,INDEPENDENT,2710 EXPOSITION BLVD,AUSTIN,78703-1756,3.0,115.0,89.0,53.0,"2710 EXPOSITION BLVD AUSTIN,TX 78703-1756",30.304345,-97.765049,260.0,54.61538461538461,SE,2529,1
3553,3596,199901107,ROCKWALL ISD,NEBBIE WILLIAMS,3,INDEPENDENT,350 DALTON RD,ROCKWALL,75087-7061,9.0,70.0,57.0,38.0,"350 DALTON RD ROCKWALL,TX 75087-7061",32.9668055,-96.4672446,174.0,54.59770114942529,NE,2412,1
4240,4296,230906102,NEW DIANA ISD,ROBERT F. HUNT,3,INDEPENDENT,11150 STATE HWY 154 E,DIANA,75640,3.0,86.0,69.0,38.0,"11150 STATE HWY 154 E DIANA,TX 75640",32.7094716,-94.7624236,196.0,54.59183673469388,NE,4522,1
952,966,57835104,GOLDEN RULE CHA,GOLDEN RULE GRA,3,CHARTER,1729 AVE B,GRAND PRAIRIE,75051,0.0,5.0,3.0,3.0,"1729 AVE B GRAND PRAIRIE,TX 75051",32.721723100000006,-96.9832158,11.0,54.54545454545455,NE,368,1
3238,3278,165901135,MIDLAND ISD,GENERAL TOMMY F,3,INDEPENDENT,401 E PARKER AVE,MIDLAND,79701-2724,10.0,55.0,46.0,32.0,"401 E PARKER AVE MIDLAND,TX 79701-2724",32.013619,-102.07222979999999,143.0,54.54545454545455,NW,3828,1
1767,1795,79907136,FORT BEND ISD,BRAZOS BEND ELE,3,INDEPENDENT,621 CUNNINGHAM CREEK BLVD,SUGAR LAND,77479-5319,7.0,103.0,81.0,51.0,"621 CUNNINGHAM CREEK BLVD SUGAR LAND,TX 77479-5319",29.5924233,-95.692751,242.0,54.54545454545455,SE,4906,1
3247,3289,167904001,PRIDDY ISD,PRIDDY SCHOOL,3,INDEPENDENT,1378 SH 16 N,PRIDDY,76870-0040,0.0,5.0,5.0,1.0,"1378 SH 16 N PRIDDY,TX 76870-0040",31.675761699999995,-98.5084221,11.0,54.54545454545455,NE,2340,0
2880,2915,123807101,BOB HOPE SCHOOL,BOB HOPE SCHOOL,3,CHARTER,4301 32ND ST,PORT ARTHUR,77642,0.0,30.0,22.0,14.0,"4301 32ND ST PORT ARTHUR,TX 77642",29.92551,-93.930428,66.0,54.54545454545455,SE,2516,1
3001,3037,133905101,DIVIDE ISD,DIVIDE ELEM.,3,INDEPENDENT,120 DIVIDE SCHOOL RD,MOUNTAIN HOME,78058,0.0,5.0,4.0,2.0,"120 DIVIDE SCHOOL RD MOUNTAIN HOME,TX 78058",30.117864,-99.618278,11.0,54.54545454545455,SW,2354,0
395,400,15915236,NORTHSIDE ISD,LOS REYES ELEM.,3,INDEPENDENT,10785 TRIANA PKWY,HELOTES,78023,6.0,90.0,71.0,44.0,"10785 TRIANA PKWY HELOTES,TX 78023",29.60064089999999,-98.7034731,211.0,54.502369668246445,SE,434,0
355,360,15915152,NORTHSIDE ISD,LEON SPRINGS EL,3,INDEPENDENT,23881 IH 10 W,SAN ANTONIO,78257-1157,6.0,80.0,64.0,39.0,"23881 IH 10 W SAN ANTONIO,TX 78257-1157",29.663030699999997,-98.6288669,189.0,54.4973544973545,SE,2677,0
3575,3618,201910102,TATUM ISD,TATUM ELEM.,3,INDEPENDENT,1525 N HILL ST,TATUM,75691-9656,6.0,97.0,77.0,46.0,"1525 N HILL ST TATUM,TX 75691-9656",32.3201994,-94.5190782,226.0,54.424778761061944,NE,1162,0
3285,3327,170902125,CONROE ISD,KAUFMAN ELEM.,3,INDEPENDENT,2760 NORTHRIDGE FOREST DR,SPRING,77386,10.0,171.0,132.0,84.0,"2760 NORTHRIDGE FOREST DR SPRING,TX 77386",30.1447959,-95.3987823,397.0,54.4080604534005,SE,1248,1
699,710,43901119,ALLEN ISD,JENNY PRESTON E,3,INDEPENDENT,2455 HILLIARD DR,ALLEN,75013,6.0,77.0,63.0,36.0,"2455 HILLIARD DR ALLEN,TX 75013",33.140868,-96.6674926,182.0,54.395604395604394,NE,1629,1
4131,4185,227901145,AUSTIN ISD,ZAVALA ELEM.,3,INDEPENDENT,310 ROBERT MARTINEZ JR ST,AUSTIN,78702-4598,6.0,20.0,17.0,14.0,"310 ROBERT MARTINEZ JR ST AUSTIN,TX 78702-4598",30.2582433,-97.7198811,57.0,54.3859649122807,SE,1757,1
3852,3899,220906111,GRAPEVINE-COLLE,GLENHOPE ELEM.,3,INDEPENDENT,6600 GLENHOPE CIR,COLLEYVILLE,76034-5688,6.0,62.0,53.0,28.0,"6600 GLENHOPE CIR COLLEYVILLE,TX 76034-5688",32.904551,-97.1280881,149.0,54.36241610738255,NE,3436,1
1214,1231,57910101,GRAND PRAIRIE I,STEPHEN F. AUST,3,INDEPENDENT,815 N W 7TH ST,GRAND PRAIRIE,75050-3498,9.0,80.0,64.0,42.0,"815 N W 7TH ST GRAND PRAIRIE,TX 75050-3498",32.7503538,-97.0127173,195.0,54.35897435897436,NE,957,1
4164,4218,227901182,AUSTIN ISD,BARANOFF ELEM.,3,INDEPENDENT,12009 BUCKINGHAM GATE RD,AUSTIN,78748,10.0,143.0,110.0,72.0,"12009 BUCKINGHAM GATE RD AUSTIN,TX 78748",30.153860499999997,-97.8520742,335.0,54.32835820895522,SE,3787,1
1721,1749,79901115,LAMAR CISD,SUSANNA DICKINS,3,INDEPENDENT,7110 GREATWOOD PKWY,SUGAR LAND,77479-6275,10.0,70.0,55.0,40.0,"7110 GREATWOOD PKWY SUGAR LAND,TX 77479-6275",29.5504755,-95.6869693,175.0,54.285714285714285,SE,4098,1
3367,3409,177905001,HIGHLAND ISD,HIGHLAND SCHOOL,3,INDEPENDENT,6625 FM 608,ROSCOE,79545-9801,1.0,15.0,12.0,7.0,"6625 FM 608 ROSCOE,TX 79545-9801",32.3371878,-100.50728670000001,35.0,54.285714285714285,NW,4821,0
2884,2919,123905104,NEDERLAND ISD,LANGHAM ELEM.,3,INDEPENDENT,800 S 12TH ST,NEDERLAND,77627,4.0,76.0,55.0,40.0,"800 S 12TH ST NEDERLAND,TX 77627",29.970344800000003,-93.9834213,175.0,54.285714285714285,SE,3056,1
4416,4474,246909107,ROUND ROCK ISD,DEEPWOOD ELEM.,3,INDEPENDENT,705 ST WILLIAMS DR,ROUND ROCK,78681-5746,6.0,53.0,44.0,26.0,"705 ST WILLIAMS DR ROUND ROCK,TX 78681-5746",30.500264,-97.6971245,129.0,54.263565891472865,SE,2461,1
3458,3501,184907104,ALEDO ISD,MCCALL ELEM.,3,INDEPENDENT,400 SCENIC TRL,WILLOW PARK,76087,11.0,91.0,71.0,50.0,"400 SCENIC TRL WILLOW PARK,TX 76087",32.737533899999995,-97.6231604,223.0,54.26008968609865,NE,856,1
3411,3453,178904158,CORPUS CHRISTI,KOLDA ELEM.,3,INDEPENDENT,3730 RODD FIELD RD,CORPUS CHRISTI,78414,5.0,108.0,84.0,50.0,"3730 RODD FIELD RD CORPUS CHRISTI,TX 78414",27.6589406,-97.3616574,247.0,54.25101214574899,SE,4292,1
3456,3499,184907102,ALEDO ISD,CODER ELEM.,3,INDEPENDENT,12 VERNON RD,ALEDO,76008-3103,5.0,65.0,50.0,33.0,"12 VERNON RD ALEDO,TX 76008-3103",32.7168547,-97.6150647,153.0,54.248366013071895,NE,4289,1
733,744,43905129,FRISCO ISD,ALLEN ELEM.,3,INDEPENDENT,5800 LEGACY DR,FRISCO,75034,12.0,85.0,68.0,47.0,"5800 LEGACY DR FRISCO,TX 75034",33.1264826,-96.84737,212.0,54.24528301886792,NE,2985,1
3093,3131,152901189,LUBBOCK ISD,WILSON ELEM.,3,INDEPENDENT,2807 25TH ST,LUBBOCK,79410,15.0,66.0,57.0,39.0,"2807 25TH ST LUBBOCK,TX 79410",33.571065999999995,-101.8774991,177.0,54.23728813559322,NW,4376,1
1606,1632,71902177,EL PASO ISD,MARGUERITE J. L,3,INDEPENDENT,6201 HIGH RIDGE DR,EL PASO,79912,6.0,113.0,87.0,54.0,"6201 HIGH RIDGE DR EL PASO,TX 79912",31.870429100000003,-106.5236667,260.0,54.23076923076923,NW,4140,1
3277,3319,170902117,CONROE ISD,RIDE ELEM.,3,INDEPENDENT,4920 W PANTHER CREEK DR,THE WOODLANDS,77381-2599,13.0,139.0,112.0,68.0,"4920 W PANTHER CREEK DR THE WOODLANDS,TX 77381-2599",30.167903999999997,-95.499383,332.0,54.21686746987952,SE,4838,1
2383,2416,101914124,KATY ISD,JOELLA EXLEY EL,3,INDEPENDENT,21800 WESTHEIMER PKWY,KATY,77494,14.0,160.0,122.0,84.0,"21800 WESTHEIMER PKWY KATY,TX 77494",29.7350168,-95.7498953,380.0,54.21052631578947,SE,2587,1
792,803,43910125,PLANO ISD,HEDGCOXE ELEM.,3,INDEPENDENT,7701 PRESCOTT DR,PLANO,75025-2838,5.0,55.0,45.0,26.0,"7701 PRESCOTT DR PLANO,TX 75025-2838",33.0824068,-96.7241459,131.0,54.19847328244275,NE,3726,1
1350,1367,57922112,COPPELL ISD,RICHARD J. LEE,3,INDEPENDENT,8808 CHAPARRAL WATERS WAY,DALLAS,75019,21.0,121.0,102.0,66.0,"8808 CHAPARRAL WATERS WAY DALLAS,TX 75019",32.9268947,-96.9747231,310.0,54.193548387096776,NE,525,1
1761,1789,79907130,FORT BEND ISD,WALKER STATION,3,INDEPENDENT,6200 HOMEWARD WAY BLVD,SUGAR LAND,77479-5873,13.0,135.0,106.0,69.0,"6200 HOMEWARD WAY BLVD SUGAR LAND,TX 77479-5873",29.600254,-95.667229,323.0,54.17956656346749,SE,3575,1
3058,3095,147901101,COOLIDGE ISD,COOLIDGE ELEM.,3,INDEPENDENT,1000 KIRVEN ST,COOLIDGE,76635-0070,1.0,21.0,18.0,8.0,"1000 KIRVEN ST COOLIDGE,TX 76635-0070",31.749081800000003,-96.6545128,48.0,54.166666666666664,NE,1212,0
1759,1787,79907128,FORT BEND ISD,COLONY MEADOWS,3,INDEPENDENT,4510 SWEETWATER BLVD,SUGAR LAND,77479-3009,9.0,134.0,97.0,72.0,"4510 SWEETWATER BLVD SUGAR LAND,TX 77479-3009",29.580986100000004,-95.6298591,312.0,54.166666666666664,SE,2867,1
150,152,15830103,BROOKS ACADEMIE,BROOKS ACAD. OA,3,CHARTER,6070 BABCOCK RD,SAN ANTONIO,78240,5.0,28.0,22.0,17.0,"6070 BABCOCK RD SAN ANTONIO,TX 78240",29.5320147,-98.6062803,72.0,54.166666666666664,SE,3063,1
724,735,43905120,FRISCO ISD,OGLE ELEM.,3,INDEPENDENT,4200 BIG FORK TRL,MCKINNEY,75070,11.0,105.0,85.0,52.0,"4200 BIG FORK TRL MCKINNEY,TX 75070",33.158549199999996,-96.7250655,253.0,54.1501976284585,NE,3056,1
2507,2540,101920108,SPRING BRANCH I,MEADOW WOOD ELE,3,INDEPENDENT,14230 MEMORIAL DR,HOUSTON,77079,5.0,78.0,60.0,38.0,"14230 MEMORIAL DR HOUSTON,TX 77079",29.771503499999998,-95.5965317,181.0,54.14364640883978,SE,3951,1
4051,4098,226906101,WALL ISD,WALL ELEM.,3,INDEPENDENT,8065 LOOP 570,WALL,76957-0259,2.0,98.0,78.0,40.0,"8065 LOOP 570 WALL,TX 76957-0259",31.3724375,-100.3074809,218.0,54.12844036697248,SW,1600,0
372,377,15915180,NORTHSIDE ISD,BEARD ELEM.,3,INDEPENDENT,8725 SONOMA PKWY,HELOTES,78023,2.0,110.0,81.0,51.0,"8725 SONOMA PKWY HELOTES,TX 78023",29.5811153,-98.656688,244.0,54.09836065573771,SE,4822,1
3148,3187,159901120,EAGLE PASS ISD,LIBERTY ELEM.,3,INDEPENDENT,1850 FLOWERS ST,EAGLE PASS,78852-3570,3.0,81.0,64.0,35.0,"1850 FLOWERS ST EAGLE PASS,TX 78852-3570",28.730659999999997,-100.491244,183.0,54.09836065573771,SW,1025,1
2681,2714,108904130,EDINBURG CISD,R.C. FLORES-MAR,3,INDEPENDENT,14000 N ROOTH RD,EDINBURG,78540,4.0,75.0,63.0,30.0,"14000 N ROOTH RD EDINBURG,TX 78540",26.3319119,-98.2279704,172.0,54.06976744186046,SE,4294,1
558,565,29901105,CALHOUN COUNTY,PORT O'CONNOR E,3,INDEPENDENT,508 W MONROE ST,PORT O'CONNOR,77982-0687,1.0,16.0,13.0,7.0,"508 W MONROE ST PORT O'CONNOR,TX 77982-0687",28.4494976,-96.41094059999999,37.0,54.054054054054056,SE,2103,0
587,597,31901134,BROWNSVILLE ISD,HUDSON ELEM.,3,INDEPENDENT,2980 FM 802,BROWNSVILLE,78521-2814,9.0,93.0,73.0,47.0,"2980 FM 802 BROWNSVILLE,TX 78521-2814",25.946545999999998,-97.475058,222.0,54.054054054054056,SE,1955,1
3290,3332,170902130,CONROE ISD,STEWART ELEM.,3,INDEPENDENT,680 FISH CREEK THOROUGHFARE,MONTGOMERY,77316,10.0,116.0,91.0,57.0,"680 FISH CREEK THOROUGHFARE MONTGOMERY,TX 77316",30.2926532,-95.5787025,274.0,54.01459854014598,SE,353,0
624,634,31906108,LOS FRESNOS CIS,OLMITO ELEM.,3,INDEPENDENT,2500 ARROYO BLVD,BROWNSVILLE,78526,6.0,103.0,78.0,50.0,"2500 ARROYO BLVD BROWNSVILLE,TX 78526",26.0084046,-97.5228171,237.0,54.0084388185654,SE,4384,1
686,697,43901106,ALLEN ISD,MAX O. VAUGHAN,3,INDEPENDENT,820 COTTONWOOD DR,ALLEN,75002-0013,15.0,100.0,80.0,55.0,"820 COTTONWOOD DR ALLEN,TX 75002-0013",33.082492800000004,-96.6572973,250.0,54.0,NE,2895,1
868,880,46902114,COMAL ISD,TIMBERWOOD PARK,3,INDEPENDENT,26715 S GLENROSE,SAN ANTONIO,78258,4.0,117.0,88.0,54.0,"26715 S GLENROSE SAN ANTONIO,TX 78258",29.706987899999994,-98.51071590000001,263.0,53.99239543726236,SE,94,0
2987,3023,130901103,BOERNE ISD,FAIR OAKS RANCH,3,INDEPENDENT,29085 RALPH FAIR RD,FAIR OAKS RANCH,78015-4738,7.0,91.0,70.0,45.0,"29085 RALPH FAIR RD FAIR OAKS RANCH,TX 78015-4738",29.729038,-98.624415,213.0,53.990610328638496,SE,1072,0
1151,1167,57905306,DALLAS ISD,SOLAR PREPARATO,3,INDEPENDENT,2617 N HENDERSON AVE,DALLAS,75206,6.0,81.0,64.0,38.0,"2617 N HENDERSON AVE DALLAS,TX 75206",32.8168472,-96.78124040000002,189.0,53.96825396825397,NE,4373,1
4072,4126,227820205,KIPP: TEXAS PUB,KIPP: SHINE PRE,3,CHARTER,10711 KIPP WAY,HOUSTON,77099,9.0,113.0,84.0,59.0,"10711 KIPP WAY HOUSTON,TX 77099",29.6693597,-95.5661825,265.0,53.9622641509434,SE,1902,1
698,709,43901118,ALLEN ISD,LOIS LINDSEY EL,3,INDEPENDENT,5730 WILFORD DR,MCKINNEY,75070,6.0,93.0,70.0,46.0,"5730 WILFORD DR MCKINNEY,TX 75070",33.153224,-96.6907965,215.0,53.95348837209303,NE,3597,1
1523,1544,70908105,MIDLOTHIAN ISD,LONGBRANCH ELEM,3,INDEPENDENT,6631 F M 1387,MIDLOTHIAN,76065-5223,8.0,97.0,80.0,43.0,"6631 F M 1387 MIDLOTHIAN,TX 76065-5223",32.48634699999999,-96.909512,228.0,53.94736842105263,NE,3535,1
3669,3714,220801001,TREETOPS SCHOOL,TREETOPS SCHOOL,3,CHARTER,12500 S PIPELINE RD,EULESS,76040,2.0,33.0,24.0,17.0,"12500 S PIPELINE RD EULESS,TX 76040",32.822037800000004,-97.0947408,76.0,53.94736842105263,NE,2129,1
3291,3333,170902131,CONROE ISD,SNYDER ELEM.,3,INDEPENDENT,28601 BIRNHAM WOODS DR,SPRING,77386,10.0,189.0,142.0,91.0,"28601 BIRNHAM WOODS DR SPRING,TX 77386",30.112917100000004,-95.3801771,432.0,53.93518518518518,SE,3497,0
280,285,15910129,NORTH EAST ISD,ENCINO PARK ELE,3,INDEPENDENT,2550 ENCINO RIO,SAN ANTONIO,78259-2031,9.0,91.0,75.0,42.0,"2550 ENCINO RIO SAN ANTONIO,TX 78259-2031",29.6347048,-98.4429343,217.0,53.91705069124424,SE,4937,1
556,563,29901101,CALHOUN COUNTY,HARRISON-JEFFER,3,INDEPENDENT,605 N COMMERCE ST,PORT LAVACA,77979-3013,1.0,100.0,78.0,40.0,"605 N COMMERCE ST PORT LAVACA,TX 77979-3013",28.621076799999997,-96.62889809999999,219.0,53.881278538812786,SE,2494,0
2388,2421,101914129,KATY ISD,WOODCREEK ELEM.,3,INDEPENDENT,1155 WOODCREEK BEND LN,KATY,77494,15.0,188.0,149.0,88.0,"1155 WOODCREEK BEND LN KATY,TX 77494",29.7669938,-95.8324071,440.0,53.86363636363637,SE,1033,1
2878,2913,123803103,TEKOA ACADEMY O,TEKOA ACAD. OF,3,CHARTER,1704 14TH ST,ORANGE,77630,0.0,6.0,5.0,2.0,"1704 14TH ST ORANGE,TX 77630",30.107991,-93.7442538,13.0,53.84615384615385,SE,3953,1
2103,2135,101907138,CYPRESS-FAIRBAN,SAMPSON ELEM.,3,INDEPENDENT,16002 COLES CROSSING DR,CYPRESS,77429,5.0,164.0,127.0,70.0,"16002 COLES CROSSING DR CYPRESS,TX 77429",29.9719654,-95.662321,366.0,53.82513661202186,SE,4201,1
1343,1360,57922105,COPPELL ISD,MOCKINGBIRD ELE,3,INDEPENDENT,300 MOCKINGBIRD,COPPELL,75019-4142,11.0,68.0,55.0,37.0,"300 MOCKINGBIRD COPPELL,TX 75019-4142",32.962769699999996,-96.9691491,171.0,53.801169590643276,NE,4160,1
1878,1908,91906109,SHERMAN ISD,WASHINGTON ELEM,3,INDEPENDENT,815 S TRAVIS ST,SHERMAN,75090-7917,4.0,57.0,48.0,23.0,"815 S TRAVIS ST SHERMAN,TX 75090-7917",33.6285038,-96.60629370000001,132.0,53.78787878787879,NE,2460,1
854,866,46901107,NEW BRAUNFELS I,WALNUT SPRINGS,3,INDEPENDENT,1900 S WALNUT,NEW BRAUNFELS,78130-1199,3.0,40.0,30.0,20.0,"1900 S WALNUT NEW BRAUNFELS,TX 78130-1199",29.672698399999998,-98.1218061,93.0,53.763440860215056,SE,173,1
4040,4087,226903111,SAN ANGELO ISD,FORT CONCHO ELE,3,INDEPENDENT,310 E WASHINGTON DR,SAN ANGELO,76903-7098,9.0,71.0,59.0,34.0,"310 E WASHINGTON DR SAN ANGELO,TX 76903-7098",31.4527559,-100.4285495,173.0,53.75722543352601,NW,1159,1
1990,2022,101862001,HARMONY SCHOOL,HARMONY SCIENCE,3,CHARTER,13415 W BELFORT,SUGAR LAND,77478,8.0,103.0,78.0,51.0,"13415 W BELFORT SUGAR LAND,TX 77478",29.661020299999997,-95.61778670000001,240.0,53.75,SE,4483,1
1352,1369,58905001,KLONDIKE ISD,KLONDIKE ISD,3,INDEPENDENT,2911 COUNTY RD H,LAMESA,79331-4945,2.0,23.0,20.0,9.0,"2911 COUNTY RD H LAMESA,TX 79331-4945",32.565044,-101.958618,54.0,53.7037037037037,NW,2494,0
3608,3652,211901101,TEXHOMA ISD,TEXHOMA ELEM.,3,INDEPENDENT,402 DENVER ST,TEXHOMA,73960-1080,0.0,25.0,20.0,9.0,"402 DENVER ST TEXHOMA,TX 73960-1080",36.4946016,-101.785978,54.0,53.7037037037037,NW,2974,0
658,669,36902105,BARBERS HILL IS,BARBERS HILL EL,3,INDEPENDENT,10000 LAKES OF CHAMPIONS BLVD,MONT BELVIEU,77580,13.0,221.0,175.0,96.0,"10000 LAKES OF CHAMPIONS BLVD MONT BELVIEU,TX 77580",29.8319853,-94.8465798,505.0,53.663366336633665,SE,2893,0
370,375,15915178,NORTHSIDE ISD,AUE ELEM.,3,INDEPENDENT,24750 BAYWATER STAGE,SAN ANTONIO,78255,8.0,87.0,66.0,44.0,"24750 BAYWATER STAGE SAN ANTONIO,TX 78255",29.673204100000003,-98.6468405,205.0,53.65853658536585,SE,1673,0
2744,2777,108909128,PHARR-SAN JUAN-,CARMEN ANAYA EL,3,INDEPENDENT,1000 W DICKER RD,PHARR,78577,0.0,64.0,52.0,22.0,"1000 W DICKER RD PHARR,TX 78577",26.126120699999998,-98.20695009999999,138.0,53.6231884057971,SE,65,0
4468,4526,246913120,LEANDER ISD,PARKSIDE ELEM.,3,INDEPENDENT,301 GARNER PARK DR,GEORGETOWN,78628,15.0,139.0,112.0,66.0,"301 GARNER PARK DR GEORGETOWN,TX 78628",30.577725,-97.77042800000001,332.0,53.6144578313253,SE,2240,0
687,698,43901107,ALLEN ISD,FLOSSIE FLOYD G,3,INDEPENDENT,1315 COMANCHE,ALLEN,75013-2053,7.0,64.0,50.0,32.0,"1315 COMANCHE ALLEN,TX 75013-2053",33.1076061,-96.70150229999999,153.0,53.59477124183007,NE,3640,1
2595,2628,107906102,MALAKOFF ISD,MALAKOFF ELEM.,3,INDEPENDENT,310 N TERRY,MALAKOFF,75148-5905,1.0,70.0,55.0,27.0,"310 N TERRY MALAKOFF,TX 75148-5905",32.1675627,-96.0119998,153.0,53.59477124183007,NE,2749,0
692,703,43901112,ALLEN ISD,JAMES AND MARGI,3,INDEPENDENT,1595 STABLERUN,ALLEN,75002,5.0,92.0,73.0,39.0,"1595 STABLERUN ALLEN,TX 75002",33.1237358,-96.6403453,209.0,53.588516746411486,NE,2073,1
4023,4070,225902102,MOUNT PLEASANT,ANNIE SIMS ELEM,3,INDEPENDENT,1801 E 1ST ST,MOUNT PLEASANT,75455,5.0,99.0,82.0,38.0,"1801 E 1ST ST MOUNT PLEASANT,TX 75455",33.1558313,-94.943214,224.0,53.57142857142857,NE,2603,1
3259,3301,170801004,TEXAS SERENITY,TEXAS SERENITY,3,CHARTER,4637 GANO,HOUSTON,77009,1.0,12.0,9.0,6.0,"4637 GANO HOUSTON,TX 77009",29.8021139,-95.3559296,28.0,53.57142857142857,SE,1813,1
3934,3981,220916119,HURST-EULESS-BE,BEDFORD HEIGHTS,3,INDEPENDENT,1000 CUMMINGS DR,BEDFORD,76021-2364,9.0,82.0,64.0,41.0,"1000 CUMMINGS DR BEDFORD,TX 76021-2364",32.8607197,-97.1500517,196.0,53.57142857142857,NE,221,1
2252,2285,101912221,HOUSTON ISD,POE ELEM.,3,INDEPENDENT,5100 HAZARD ST,HOUSTON,77098-5330,10.0,107.0,81.0,54.0,"5100 HAZARD ST HOUSTON,TX 77098-5330",29.727194,-95.408006,252.0,53.57142857142857,SE,2633,1
1466,1487,62905101,WESTHOFF ISD,WESTHOFF ELEM.,3,INDEPENDENT,244 LYNCH AVE,WESTHOFF,77994-0038,0.0,13.0,11.0,4.0,"244 LYNCH AVE WESTHOFF,TX 77994-0038",29.1909722,-97.4719516,28.0,53.57142857142857,SE,3462,0
3426,3468,180904101,WILDORADO ISD,WILDORADO ELEM.,3,INDEPENDENT,1523 S LOCUST,WILDORADO,79098-0120,1.0,12.0,11.0,4.0,"1523 S LOCUST WILDORADO,TX 79098-0120",35.18625840000001,-102.2018785,28.0,53.57142857142857,NW,4122,0
597,607,31901144,BROWNSVILLE ISD,BREEDEN ELEM.,3,INDEPENDENT,3955 DANA AVE,BROWNSVILLE,78521,7.0,91.0,69.0,44.0,"3955 DANA AVE BROWNSVILLE,TX 78521",25.967779699999998,-97.4672671,211.0,53.55450236966825,SE,4940,1
3525,3568,191901107,CANYON ISD,CRESTVIEW ELEM.,3,INDEPENDENT,80 HUNSLEY RD,CANYON,79015-1742,8.0,77.0,61.0,37.0,"80 HUNSLEY RD CANYON,TX 79015-1742",34.998816,-101.92990400000001,183.0,53.55191256830601,NW,4803,1
3618,3662,212903102,LINDALE ISD,VELMA PENNY ELE,3,INDEPENDENT,1000 MOUNT SYLVAN ST,LINDALE,75771-6297,11.0,127.0,99.0,60.0,"1000 MOUNT SYLVAN ST LINDALE,TX 75771-6297",32.5059572,-95.4196076,297.0,53.535353535353536,NE,3474,1
742,753,43905139,FRISCO ISD,HOSP ELEM.,3,INDEPENDENT,5050 LONE STAR RANCH PKWY,FRISCO,75034,9.0,111.0,90.0,48.0,"5050 LONE STAR RANCH PKWY FRISCO,TX 75034",33.1205026,-96.8835729,258.0,53.48837209302326,NE,1532,1
1847,1875,84911102,FRIENDSWOOD ISD,C.W. CLINE ELEM,3,INDEPENDENT,505 BRIARMEADOW AVE,FRIENDSWOOD,77546-4810,10.0,90.0,72.0,43.0,"505 BRIARMEADOW AVE FRIENDSWOOD,TX 77546-4810",29.512912100000005,-95.1956,215.0,53.48837209302326,SE,1227,1
4074,4128,227820207,KIPP: TEXAS PUB,KIPP: SHARP PRE,3,CHARTER,8430 WESTGLEN,HOUSTON,77063,8.0,112.0,88.0,50.0,"8430 WESTGLEN HOUSTON,TX 77063",29.724992699999998,-95.5122798,258.0,53.48837209302326,SE,3484,1
3455,3498,184907101,ALEDO ISD,VANDAGRIFF ELEM,3,INDEPENDENT,408 FM 1187 S,ALEDO,76008-4407,6.0,94.0,69.0,46.0,"408 FM 1187 S ALEDO,TX 76008-4407",32.6928806,-97.6038755,215.0,53.48837209302326,NE,144,1
592,602,31901139,BROWNSVILLE ISD,ORTIZ ELEM.,3,INDEPENDENT,2500 W ALTON GLOOR BLVD,BROWNSVILLE,78521,4.0,90.0,70.0,38.0,"2500 W ALTON GLOOR BLVD BROWNSVILLE,TX 78521",25.949874100000002,-97.5368249,202.0,53.46534653465346,SE,2725,1
