CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,Zipcode,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
31913042,SANTA MARIA ISD,SANTA MARIA M.S,5,INDEPENDENT,11142 MILITARY RD,SANTA MARIA,78592,16,24,8,2
31914101,SANTA ROSA ISD,ELMA E. BARRERA,5,INDEPENDENT,HWY 107,SANTA ROSA,78593,9,53,33,17
32902105,PITTSBURG ISD,PITTSBURG INTER,5,INDEPENDENT,209 LAFEYETTE,PITTSBURG,75686,0,195,166,80
33901001,GROOM ISD,GROOM SCHOOL,5,INDEPENDENT,304 W 3RD,GROOM,79039,0,8,6,3
33902101,PANHANDLE ISD,PANHANDLE ELEM.,5,INDEPENDENT,106 W 9TH ST,PANHANDLE,79068,1,52,42,31
33904102,WHITE DEER ISD,WHITE DEER ELEM,5,INDEPENDENT,603 S MAIN,WHITE DEER,79097,2,27,19,7
34901106,ATLANTA ISD,ATLANTA ELEM.,5,INDEPENDENT,902 ABC LN,ATLANTA,75551,9,106,76,51
34902001,AVINGER ISD,AVINGER SCHOOL,5,INDEPENDENT,245 CONNOR ST,AVINGER,75630,4,12,8,3
34903101,HUGHES SPRINGS,HUGHES SPRINGS,5,INDEPENDENT,809 RUSSELL,HUGHES SPRINGS,75656,7,91,54,30
34905102,LINDEN-KILDARE,LINDEN ELEM.,5,INDEPENDENT,107 S KAUFMAN ST,LINDEN,75563,17,41,15,10
34906041,MCLEOD ISD,MCLEOD M.S.,5,INDEPENDENT,19395 FARM RD 125,MCLEOD,75565,0,19,16,8
34906101,MCLEOD ISD,MCLEOD ELEM.,5,INDEPENDENT,19395 FARM RD 125 E,MCLEOD,75565,1,4,1,0
34907041,QUEEN CITY ISD,MORRIS UPCHURCH,5,INDEPENDENT,500 5TH ST,QUEEN CITY,75572,5,58,42,27
34909101,BLOOMBURG ISD,BLOOMBURG ELEM.,5,,,,,2,16,8,4
35901102,DIMMITT ISD,RICHARDSON ELEM,5,INDEPENDENT,708 W STINSON ST,DIMMITT,79027,15,66,42,19
35902001,HART ISD,HART ISD,5,INDEPENDENT,710 2ND ST,HART,79043,1,11,6,3
35903001,NAZARETH ISD,NAZARETH SCHOOL,5,INDEPENDENT,101 S FIRST AVE,NAZARETH,79063,0,20,17,15
36901101,ANAHUAC ISD,ANAHUAC ELEM.,5,INDEPENDENT,906 ROSS STERLING,ANAHUAC,77514,14,89,68,51
36902104,BARBERS HILL IS,BARBERS HILL EL,5,INDEPENDENT,4400 PERRY AVE,MONT BELVIEU,77580,8,191,151,109
36902105,BARBERS HILL IS,BARBERS HILL EL,5,INDEPENDENT,10000 LAKES OF CHAMPIONS BLVD,MONT BELVIEU,77580,8,232,202,140
36903101,EAST CHAMBERS I,EAST CHAMBERS E,5,INDEPENDENT,2045 STATE HWY 124,WINNIE,77665,21,92,52,23
37901041,ALTO ISD,ALTO M.S.,5,INDEPENDENT,240 CR 2429,ALTO,75925,10,36,24,15
37904043,JACKSONVILLE IS,NICHOLS INTERME,5,INDEPENDENT,818 S W LOOP 456,JACKSONVILLE,75766,108,252,121,67
37907100,RUSK ISD,RUSK INTERMEDIA,5,INDEPENDENT,1143 LOOP 343 W,RUSK,75785,30,138,68,38
37908001,NEW SUMMERFIELD,NEW SUMMERFIELD,5,INDEPENDENT,13307 HWY 110 S,NEW SUMMERFIELD,75780,8,34,21,5
37909101,WELLS ISD,WELLS ELEM.,5,INDEPENDENT,160 RUSK AVE,WELLS,75976,5,17,8,4
38901102,CHILDRESS ISD,CHILDRESS ELEM.,5,INDEPENDENT,300 3RD ST S E,CHILDRESS,79201,5,75,48,29
39902101,HENRIETTA ISD,HENRIETTA ELEM.,5,INDEPENDENT,1600 E CRAFTON ST,HENRIETTA,76365,4,69,50,34
39903101,PETROLIA CISD,PETROLIA ELEM.,5,INDEPENDENT,701 S PRAIRIE AVE,PETROLIA,76377,3,29,16,11
39904001,BELLEVUE ISD,BELLEVUE SCHOOL,5,INDEPENDENT,500 SEVENTH ST,BELLEVUE,76228,2,9,2,2
39905001,MIDWAY ISD,MIDWAY SCHOOL,5,INDEPENDENT,12142 STATE HWY 148 S,HENRIETTA,76365,1,9,6,5
40901001,MORTON ISD,MORTON SCHOOL,5,INDEPENDENT,500 CHAMPION DR,MORTON,79346,5,26,11,4
40902001,WHITEFACE CISD,WHITEFACE SCHOO,5,INDEPENDENT,401 ANTELOPE BLVD,WHITEFACE,79379,2,23,12,5
41901001,BRONTE ISD,BRONTE ISD,5,INDEPENDENT,210 S JEFFERSON ST,BRONTE,76933,4,13,8,7
41902101,ROBERT LEE ISD,ROBERT LEE ELEM,5,INDEPENDENT,1323 HAMILTON,ROBERT LEE,76945,1,29,22,13
42901041,COLEMAN ISD,COLEMAN JR.H.,5,INDEPENDENT,301 W 15TH,COLEMAN,76834,25,40,15,6
42903101,SANTA ANNA ISD,SANTA ANNA ELEM,5,INDEPENDENT,701 BOWIE ST,SANTA ANNA,76878,1,15,8,2
42905001,PANTHER CREEK C,PANTHER CREEK S,5,INDEPENDENT,129 PR 3421,VALERA,76884,1,6,6,2
43801001,IMAGINE INTERNA,IMAGINE INTERNA,5,CHARTER,2860 VIRGINIA PKWY,MCKINNEY,75071,4,121,106,86
43901101,ALLEN ISD,D.L. ROUNTREE E,5,INDEPENDENT,800 E MAIN ST,ALLEN,75002,7,52,31,21
43901102,ALLEN ISD,ALTON BOYD ELEM,5,INDEPENDENT,800 JUPITER RD,ALLEN,75002,22,65,35,23
43901104,ALLEN ISD,GENE M. REED EL,5,INDEPENDENT,1200 RIVERCREST BLVD,ALLEN,75002,11,81,63,39
43901105,ALLEN ISD,ALVIS C. STORY,5,INDEPENDENT,1550 EDELWEISS DR,ALLEN,75002,3,67,59,38
43901106,ALLEN ISD,MAX O. VAUGHAN,5,INDEPENDENT,820 COTTONWOOD DR,ALLEN,75002,7,110,97,80
43901107,ALLEN ISD,FLOSSIE FLOYD G,5,INDEPENDENT,1315 COMANCHE,ALLEN,75013,1,79,71,59
43901108,ALLEN ISD,FRANCES E. NORT,5,INDEPENDENT,1120 NEWPORT DR,ALLEN,75013,0,75,66,62
43901109,ALLEN ISD,GEORGE J. ANDER,5,INDEPENDENT,305 N ALDER DR,ALLEN,75002,6,71,62,48
43901110,ALLEN ISD,BOLIN ELEM.,5,INDEPENDENT,5705 CHEYENNE DR,PARKER,75002,5,80,61,41
43901111,ALLEN ISD,KERR ELEM.,5,INDEPENDENT,1325 GLENDOVER DR,ALLEN,75013,2,109,105,93
43901112,ALLEN ISD,JAMES AND MARGI,5,INDEPENDENT,1595 STABLERUN,ALLEN,75002,6,103,85,66
43901113,ALLEN ISD,DR. E.T. BOON E,5,INDEPENDENT,1050 COMANCHE DR,ALLEN,75013,2,120,112,103
43901114,ALLEN ISD,CARLENA CHANDLE,5,INDEPENDENT,1000 WATER OAK,ALLEN,75002,2,88,76,58
43901115,ALLEN ISD,MARY EVANS ELEM,5,INDEPENDENT,1225 WALNUT SPRINGS DR,ALLEN,75013,0,95,90,81
43901116,ALLEN ISD,DAVID AND LYNDA,5,INDEPENDENT,1751 E EXCHANGE PKWY,ALLEN,75002,1,94,79,66
43901117,ALLEN ISD,BEVERLY CHEATHA,5,INDEPENDENT,1501 HOPEWELL DR,ALLEN,75013,0,69,67,63
43901118,ALLEN ISD,LOIS LINDSEY EL,5,INDEPENDENT,5730 WILFORD DR,MCKINNEY,75070,4,99,87,64
43901119,ALLEN ISD,JENNY PRESTON E,5,INDEPENDENT,2455 HILLIARD DR,ALLEN,75013,0,63,58,49
43902101,ANNA ISD,JOE K. BRYANT E,5,INDEPENDENT,2725 BRYANT FARM RD,ANNA,75409,11,88,55,31
43902103,ANNA ISD,SUE EVELYN RATT,5,INDEPENDENT,1221 S FERGUSON PKWY,ANNA,75409,15,77,48,28
43902105,ANNA ISD,JUDITH L. HARLO,5,INDEPENDENT,1224 LEONARD AVE,ANNA,75409,14,81,55,32
43903101,CELINA ISD,CELINA ELEM.,5,INDEPENDENT,550 S UTAH,CELINA,75009,4,107,72,44
43903104,CELINA ISD,O'DELL ELEM.,5,INDEPENDENT,750 PUNK CARTER PKWY,CELINA,75009,0,79,69,60
43904102,FARMERSVILLE IS,FARMERSVILLE IN,5,INDEPENDENT,807 N MAIN,FARMERSVILLE,75442,15,131,82,41
43905102,FRISCO ISD,ROGERS ELEM.,5,INDEPENDENT,10500 ROGERS RD,FRISCO,75034,20,79,60,34
43905103,FRISCO ISD,CURTSINGER ELEM,5,INDEPENDENT,12450 JEREME TRL,FRISCO,75035,1,105,95,73
43905104,FRISCO ISD,SMITH ELEM.,5,INDEPENDENT,9800 SEAN DR,FRISCO,75035,7,93,80,63
43905105,FRISCO ISD,ANDERSON ELEM.,5,INDEPENDENT,2800 OAKLAND HILLS DR,PLANO,75025,2,119,105,94
43905106,FRISCO ISD,CHRISTIE ELEM.,5,INDEPENDENT,10300 HUNTINGTON RD,FRISCO,75035,13,82,56,30
43905107,FRISCO ISD,FISHER ELEM.,5,INDEPENDENT,2500 OLD ORCHARD DR,FRISCO,75034,4,105,89,65
43905108,FRISCO ISD,BRIGHT ACAD.,5,INDEPENDENT,7600 WOODSTREAM DR,FRISCO,75034,10,48,21,13
43905109,FRISCO ISD,BORCHARDT ELEM.,5,INDEPENDENT,4300 WASKOM DR,PLANO,75024,7,137,114,94
43905110,FRISCO ISD,SHAWNEE TRAIL E,5,INDEPENDENT,10701 PRESTON VINEYARD DR,FRISCO,75035,8,70,52,30
43905111,FRISCO ISD,SPEARS ELEM.,5,INDEPENDENT,8500 WADE BLVD,FRISCO,75034,9,116,96,73
43905112,FRISCO ISD,SPARKS ELEM.,5,INDEPENDENT,8200 OTIS DR,FRISCO,75034,0,137,116,85
43905113,FRISCO ISD,GUNSTREAM ELEM.,5,INDEPENDENT,7600 ROCKYRIDGE DR,FRISCO,75035,15,109,85,60
43905114,FRISCO ISD,RIDDLE ELEM.,5,INDEPENDENT,8201 ROBINSON RD,PLANO,75024,6,108,97,88
43905115,FRISCO ISD,BOALS ELEM.,5,INDEPENDENT,2035 JAGUAR DR,FRISCO,75034,13,112,87,58
43905116,FRISCO ISD,ISBELL ELEM.,5,INDEPENDENT,6000 MALTBY DR,FRISCO,75035,8,162,143,121
43905117,FRISCO ISD,PINK ELEM.,5,INDEPENDENT,3650 OVERHILL DR,FRISCO,75034,1,98,89,65
43905118,FRISCO ISD,BLEDSOE ELEM.,5,INDEPENDENT,1900 TIMBER RDG DR,FRISCO,75034,4,134,122,100
43905119,FRISCO ISD,ASHLEY ELEM.,5,INDEPENDENT,15601 CHRISTOPHER LN,FRISCO,75035,7,124,107,89
43905120,FRISCO ISD,OGLE ELEM.,5,INDEPENDENT,4200 BIG FORK TRL,MCKINNEY,75070,13,94,70,48
43905121,FRISCO ISD,CORBELL ELEM.,5,INDEPENDENT,11095 MONARCH DR,FRISCO,75034,16,128,94,66
43905122,FRISCO ISD,SEM ELEM.,5,INDEPENDENT,12721 HONEY GROVE DR,FRISCO,75035,9,122,102,84
43905123,FRISCO ISD,TAYLOR ELEM.,5,INDEPENDENT,9865 GILLESPIE DR,PLANO,75025,5,136,124,98
43905124,FRISCO ISD,MOONEYHAM ELEM.,5,INDEPENDENT,2301 EDEN DR,MCKINNEY,75070,7,108,94,64
43905125,FRISCO ISD,ROBERTSON ELEM.,5,INDEPENDENT,2501 WOODLAKE PKWY,LITTLE ELM,75068,10,112,96,70
43905126,FRISCO ISD,ELLIOTT ELEM.,5,INDEPENDENT,3721 HUDSON CROSSING,MCKINNEY,75070,24,81,54,34
43905127,FRISCO ISD,CARROLL ELEM.,5,INDEPENDENT,4380 THRONE HALL DR,FRISCO,75034,3,81,58,35
43905128,FRISCO ISD,TADLOCK ELEM.,5,INDEPENDENT,12515 GODFREY DR,FRISCO,75035,10,130,98,74
43905129,FRISCO ISD,ALLEN ELEM.,5,INDEPENDENT,5800 LEGACY DR,FRISCO,75034,4,94,86,71
43905130,FRISCO ISD,SONNTAG ELEM.,5,INDEPENDENT,2001 REAGAN DR,MCKINNEY,75070,6,99,77,59
43905131,FRISCO ISD,PUREFOY ELEM.,5,INDEPENDENT,11880 TEEL PKWY,FRISCO,75034,4,98,93,65
43905132,FRISCO ISD,COMSTOCK ELEM.,5,INDEPENDENT,7152 SILVERADO TRAIL,MCKINNEY,75070,4,114,101,75
43905133,FRISCO ISD,PHILLIPS ELEM.,5,INDEPENDENT,2285 LITTLE RIVER DR,FRISCO,75033,2,130,113,86
43905134,FRISCO ISD,NICHOLS ELEM.,5,INDEPENDENT,7411 NICHOLS TRAIL,FRISCO,75034,7,96,83,72
43905136,FRISCO ISD,NEWMAN ELEM.,5,INDEPENDENT,12333 BRIAR RIDGE RD,FRISCO,75033,2,117,101,79
43905137,FRISCO ISD,SCOTT ELEM.,5,INDEPENDENT,10550 MILLBEND DR,MCKINNEY,75070,7,108,88,68
43905138,FRISCO ISD,MCSPEDDEN ELEM.,5,INDEPENDENT,14140 COUNTRYBROOK DR,FRISCO,75035,1,113,108,95
43905139,FRISCO ISD,HOSP ELEM.,5,INDEPENDENT,5050 LONE STAR RANCH PKWY,FRISCO,75034,2,124,111,90
43905140,FRISCO ISD,NORRIS ELEM.,5,INDEPENDENT,10101 SHEPTON LN,FRISCO,75035,3,80,70,64
43905141,FRISCO ISD,MILLER ELEM.,5,INDEPENDENT,300 CYPRESS HILL DR,LITTLE ELM,75068,18,86,64,37
43905142,FRISCO ISD,VAUGHN ELEM.,5,INDEPENDENT,3535 GUINN GATE DR,FRISCO,75034,5,77,68,54
43905143,FRISCO ISD,TALLEY ELEM.,5,INDEPENDENT,5900 COIT RD,FRISCO,75035,0,88,82,75
43905144,FRISCO ISD,LISCANO ELEM.,5,INDEPENDENT,11222 MAMMOTH CAVE LN,FRISCO,75035,8,110,95,77
43907006,MCKINNEY ISD,COUNTY RESIDENT,5,INDEPENDENT,4700 COMMUNITY DR,MCKINNEY,75071,,,,
43907102,MCKINNEY ISD,FINCH ELEM.,5,INDEPENDENT,1205 S TENNESSEE ST,MCKINNEY,75069,17,51,30,20
43907104,MCKINNEY ISD,WEBB ELEM.,5,INDEPENDENT,810 E LOUISIANA ST,MCKINNEY,75069,17,50,30,15
43907105,MCKINNEY ISD,BURKS ELEM.,5,INDEPENDENT,1801 HILL ST,MCKINNEY,75069,21,63,33,22
43907107,MCKINNEY ISD,CALDWELL ELEM.,5,INDEPENDENT,601 W LOUISIANA ST,MCKINNEY,75069,23,37,23,12
43907108,MCKINNEY ISD,VALLEY CREEK EL,5,INDEPENDENT,2800 VLY CREEK TRL,MCKINNEY,75070,1,73,58,48
43907109,MCKINNEY ISD,GLEN OAKS ELEM.,5,INDEPENDENT,6100 GLEN OAKS DR,MCKINNEY,75070,2,78,66,47
43907111,MCKINNEY ISD,SLAUGHTER ELEM.,5,INDEPENDENT,2706 WOLFORD ST,MCKINNEY,75070,18,118,85,59
43907112,MCKINNEY ISD,REUBEN JOHNSON,5,INDEPENDENT,3400 ASH LN,MCKINNEY,75070,13,71,49,31
43907113,MCKINNEY ISD,C.T. EDDINS ELE,5,INDEPENDENT,311 PEREGRINE DR,MCKINNEY,75070,5,70,57,40
43907115,MCKINNEY ISD,ROY LEE WALKER,5,INDEPENDENT,4000 COCKRILL DR,MCKINNEY,75070,6,101,93,74
43907116,MCKINNEY ISD,EARL AND LOTTIE,5,INDEPENDENT,6951 BERKSHIRE RD,MCKINNEY,75070,6,78,65,48
43907117,MCKINNEY ISD,ARTHUR H. MCNEI,5,INDEPENDENT,3650 HARDIN BLVD,MCKINNEY,75070,15,46,27,11
43907118,MCKINNEY ISD,ALBERT AND IOLA,5,INDEPENDENT,1100 ELDORADO PKWY,MCKINNEY,75069,29,52,28,18
43907119,MCKINNEY ISD,JOSE DE JESUS A,5,INDEPENDENT,2511 CATTLEMAN DR,MCKINNEY,75070,13,87,53,27
43907120,MCKINNEY ISD,DEAN AND MILDRE,5,INDEPENDENT,7760 CORONADO DR,MCKINNEY,75070,11,85,73,58
43907121,MCKINNEY ISD,GARY AND BOBBYE,5,INDEPENDENT,300 JOPLIN DR,MCKINNEY,75071,9,92,64,47
43907122,MCKINNEY ISD,J.B. WILMETH EL,5,INDEPENDENT,901 LACIMA DR,MCKINNEY,75071,5,92,77,64
43907123,MCKINNEY ISD,JESSE MCGOWEN E,5,INDEPENDENT,4300 COLUMBUS DR,MCKINNEY,75070,15,121,85,60
43907124,MCKINNEY ISD,NAOMI PRESS ELE,5,INDEPENDENT,4101 SHAWNEE DR,MCKINNEY,75070,22,78,46,22
43907126,MCKINNEY ISD,LIZZIE NELL CUN,5,INDEPENDENT,1753 N RIDGE RD,MCKINNEY,75071,8,102,85,65
43908102,MELISSA ISD,HARRY MCKILLOP,5,INDEPENDENT,3509 LIBERTY WAY,MELISSA,75454,2,131,98,71
43908105,MELISSA ISD,NORTH CREEK ELE,5,INDEPENDENT,4401 CYPRESS DR,MELISSA,75454,14,136,100,64
43910101,PLANO ISD,JACKSON ELEM.,5,INDEPENDENT,1101 JACKSON DR,PLANO,75075,11,63,43,27
43910102,PLANO ISD,MEADOWS ELEM.,5,INDEPENDENT,2800 18TH ST,PLANO,75074,16,65,40,30
43910103,PLANO ISD,MENDENHALL ELEM,5,INDEPENDENT,1330 19TH ST,PLANO,75074,17,63,35,17
43910104,PLANO ISD,SIGLER ELEM.,5,INDEPENDENT,1400 JANWOOD DR,PLANO,75075,17,59,33,22
43910105,PLANO ISD,MEMORIAL ELEM.,5,INDEPENDENT,2200 LAUREL LN,PLANO,75074,24,57,31,17
43910106,PLANO ISD,ALDRIDGE ELEM.,5,INDEPENDENT,720 PLEASANT VALLEY LN,RICHARDSON,75080,10,85,69,55
43910108,PLANO ISD,SHEPARD ELEM.,5,INDEPENDENT,1000 WILSON DR,PLANO,75075,13,64,44,34
43910109,PLANO ISD,FORMAN ELEM.,5,INDEPENDENT,3600 TIMBERLINE DR,PLANO,75074,14,79,55,38
43910111,PLANO ISD,DAVIS ELEM.,5,INDEPENDENT,2701 PARKHAVEN DR,PLANO,75075,14,62,46,31
43910112,PLANO ISD,CHRISTIE ELEM.,5,INDEPENDENT,3801 RAINIER RD,PLANO,75023,18,106,79,43
43910113,PLANO ISD,WEATHERFORD ELE,5,INDEPENDENT,2941 MOLLIMAR DR,PLANO,75075,14,51,30,14
43910114,PLANO ISD,HUGHSTON ELEM.,5,INDEPENDENT,2601 CROSS BEND RD,PLANO,75023,3,63,59,42
43910115,PLANO ISD,SAIGLING ELEM.,5,INDEPENDENT,3600 MATTERHORN DR,PLANO,75075,5,64,56,42
43910116,PLANO ISD,WELLS ELEM.,5,INDEPENDENT,3427 MISSION RIDGE RD,PLANO,75023,5,76,66,46
43910117,PLANO ISD,THOMAS ELEM.,5,INDEPENDENT,1800 MONTANA TRAIL,PLANO,75023,28,79,36,22
43910118,PLANO ISD,HARRINGTON ELEM,5,INDEPENDENT,1540 BAFFIN BAY DR,PLANO,75075,3,53,41,31
43910119,PLANO ISD,DOOLEY ELEM.,5,INDEPENDENT,2425 SAN GABRIEL DR,PLANO,75074,14,69,44,24
43910120,PLANO ISD,HUFFMAN ELEM.,5,INDEPENDENT,5510 CHANNEL ISLE DR,PLANO,75093,14,54,40,26
43910121,PLANO ISD,CARLISLE ELEM.,5,INDEPENDENT,6525 OLD ORCHARD DR,PLANO,75023,4,81,67,49
43910122,PLANO ISD,MATHEWS ELEM.,5,INDEPENDENT,7500 MARCHMAN WAY,PLANO,75025,1,91,87,77
43910123,PLANO ISD,BRINKER ELEM.,5,INDEPENDENT,3800 JOHN CLARK PKWY,PLANO,75093,10,104,92,74
43910124,PLANO ISD,DAFFRON ELEM.,5,INDEPENDENT,3900 PRESTON MEADOW DR,PLANO,75093,8,100,79,58
43910125,PLANO ISD,HEDGCOXE ELEM.,5,INDEPENDENT,7701 PRESCOTT DR,PLANO,75025,2,78,68,57
43910126,PLANO ISD,MITCHELL ELEM.,5,INDEPENDENT,4223 BRIARGROVE LN,DALLAS,75287,14,96,67,43
43910127,PLANO ISD,RASOR ELEM.,5,INDEPENDENT,945 HEDGCOXE RD,PLANO,75025,12,53,32,17
43910128,PLANO ISD,BETHANY ELEM.,5,INDEPENDENT,2418 MICARTA DR,PLANO,75025,12,71,59,44
43910129,PLANO ISD,GULLEDGE ELEM.,5,INDEPENDENT,6801 PRESTON MEADOW DR,PLANO,75024,4,102,90,76
43910130,PLANO ISD,ROSE HAGGAR ELE,5,INDEPENDENT,17820 CAMPBELL RD,DALLAS,75252,7,82,62,49
43910131,PLANO ISD,MILLER ELEM.,5,INDEPENDENT,5651 COVENTRY DR,RICHARDSON,75082,10,69,57,37
43910132,PLANO ISD,BARKSDALE ELEM.,5,INDEPENDENT,2424 MIDWAY,PLANO,75093,6,97,80,57
43910133,PLANO ISD,SKAGGS ELEM.,5,INDEPENDENT,3201 RUSSELL CREEK DR,PLANO,75025,3,92,88,82
43910134,PLANO ISD,HAUN ELEM.,5,INDEPENDENT,4500 QUINCY LN,PLANO,75024,6,115,94,73
43910135,PLANO ISD,MCCALL ELEM.,5,INDEPENDENT,6601 CLOVERHAVEN WAY,PLANO,75074,4,82,70,58
43910136,PLANO ISD,BEVERLY ELEM.,5,INDEPENDENT,715 DUCHESS DR,ALLEN,75013,3,79,71,51
43910138,PLANO ISD,HIGHTOWER ELEM.,5,INDEPENDENT,2601 DECATUR DR,PLANO,75093,4,81,71,52
43910139,PLANO ISD,STINSON ELEM.,5,INDEPENDENT,4201 GREENFIELD DR,RICHARDSON,75082,5,113,105,81
43910140,PLANO ISD,ANDREWS ELEM.,5,INDEPENDENT,2520 SCENIC DR,PLANO,75025,2,136,123,108
43910141,PLANO ISD,CENTENNIAL ELEM,5,INDEPENDENT,2609 VENTURA DR,PLANO,75093,7,94,86,69
43910142,PLANO ISD,BOGGESS ELEM.,5,INDEPENDENT,225 GLEN RIDGE DR,MURPHY,75094,3,108,87,73
43910143,PLANO ISD,HICKEY ELEM.,5,INDEPENDENT,4100 COLDWATER CREEK,PLANO,75074,15,75,55,38
43910144,PLANO ISD,WYATT ELEM.,5,INDEPENDENT,8900 COIT RD,PLANO,75025,1,84,80,72
43910145,PLANO ISD,MARTHA HUNT ELE,5,INDEPENDENT,415 ORIOLE DR,MURPHY,75094,6,150,131,113
43910148,PLANO ISD,SCHELL ELEM.,5,INDEPENDENT,5301 E RENNER RD,RICHARDSON,75082,13,120,90,68
43910149,PLANO ISD,BARRON ELEM.,5,INDEPENDENT,3300 AVE P,PLANO,75074,15,51,27,16
43911101,PRINCETON ISD,LACY ELEM.,5,INDEPENDENT,224 E COLLEGE ST,PRINCETON,75407,15,80,40,21
43911103,PRINCETON ISD,GODWIN ELEM.,5,INDEPENDENT,1019 N 6TH ST,PRINCETON,75407,10,76,57,35
43911104,PRINCETON ISD,HARPER ELEM.,5,INDEPENDENT,8080 CR 398,PRINCETON,75407,12,63,32,23
43911105,PRINCETON ISD,SMITH ELEM.,5,INDEPENDENT,2101 FOREST MEADOW DR,PRINCETON,75407,7,106,81,51
43912101,PROSPER ISD,R. STEVE FOLSOM,5,INDEPENDENT,800 SOMERVILLE DR,PROSPER,75078,10,152,131,100
43912102,PROSPER ISD,JUDY RUCKER ELE,5,INDEPENDENT,402 S CRAIG RD,PROSPER,75078,15,107,83,64
43912103,PROSPER ISD,JOHN A. BAKER,5,INDEPENDENT,3125 BLUEWOOD DR,MCKINNEY,75071,9,138,119,79
43912104,PROSPER ISD,CYNTHIA A. COCK,5,INDEPENDENT,1075 ESCALANTE TRAIL,PROSPER,75078,4,132,118,89
43912105,PROSPER ISD,LIGHT FARMS ELE,5,INDEPENDENT,1100 CYPRESS CREEK WAY,CELINA,75009,5,112,96,74
43912106,PROSPER ISD,WINDSONG RANCH,5,INDEPENDENT,800 COPPER CANYON DR,PROSPER,75078,9,155,118,82
43912107,PROSPER ISD,JIM AND BETTY H,5,INDEPENDENT,1551 PRESTWICK HOLLOW DR,MCKINNEY,75071,6,135,115,86
43912108,PROSPER ISD,RALPH AND MARY,5,INDEPENDENT,1616 MONTGOMERY LN,PROSPER,75078,2,146,122,105
43912109,PROSPER ISD,JIM SPRADLEY EL,5,INDEPENDENT,11411 LEONA ST,FRISCO,75035,4,128,109,89
43914042,WYLIE ISD,A.B. HARRISON I,5,INDEPENDENT,1001 S BALLARD,WYLIE,75098,14,383,313,223
43914044,WYLIE ISD,DAVIS INTERMEDI,5,INDEPENDENT,950 PARK BLVD,WYLIE,75098,33,374,271,193
43914046,WYLIE ISD,DR. AL DRAPER I,5,INDEPENDENT,103 HENSLEY,WYLIE,75098,12,439,374,304
43917101,BLUE RIDGE ISD,BLUE RIDGE ELEM,5,INDEPENDENT,425 N CHURCH ST,BLUE RIDGE,75424,3,59,46,28
43918101,COMMUNITY ISD,MCCLENDON ELEM.,5,INDEPENDENT,601 FM 1138 N,NEVADA,75173,18,89,64,44
43918103,COMMUNITY ISD,NESMITH ELEM.,5,INDEPENDENT,801 PRESIDENTS BLVD,LAVON,75166,18,61,32,17
43919042,LOVEJOY ISD,SLOAN CREEK INT,5,INDEPENDENT,440 COUNTRY CLUB RD,FAIRVIEW,75002,3,259,228,190
44902101,WELLINGTON ISD,WELLINGTON ELEM,5,INDEPENDENT,606 16TH ST,WELLINGTON,79095,7,37,16,6
45902101,COLUMBUS ISD,COLUMBUS ELEM.,5,INDEPENDENT,1324 BOWIE,COLUMBUS,78934,15,95,49,30
45903102,RICE CISD,SHERIDAN ELEM.,5,INDEPENDENT,5526 FM 2437,SHERIDAN,77475,1,11,10,7
45903103,RICE CISD,GARWOOD ELEM.,5,INDEPENDENT,7827 HWY 71 S,GARWOOD,77442,1,23,21,17
45903105,RICE CISD,EAGLE LAKE INTE,5,INDEPENDENT,701 TATE AVE,EAGLE LAKE,77434,21,56,30,12
45905041,WEIMAR ISD,WEIMAR JR.H.,5,INDEPENDENT,101 N W ST,WEIMAR,78962,2,43,24,9
46802001,TRINITY CHARTER,TRINITY CHARTER,5,CHARTER,650 SCARBOROUGH RD,CANYON LAKE,78133,,,,
46802007,TRINITY CHARTER,PEGASUS SCHOOL,5,CHARTER,896 ROBIN RANCH RD BLDG 9,LOCKHART,78644,3,4,1,0
46802011,TRINITY CHARTER,AZLEWAY - WILLO,5,CHARTER,2902 HWY 31 E,TYLER,75702,,,,
46901103,NEW BRAUNFELS I,CARL SCHURZ ELE,5,INDEPENDENT,633 W COLL ST,NEW BRAUNFELS,78130,9,68,51,33
46901104,NEW BRAUNFELS I,SEELE ELEM.,5,INDEPENDENT,540 HOWARD ST,NEW BRAUNFELS,78130,1,50,47,29
46901105,NEW BRAUNFELS I,LAMAR ELEM.,5,INDEPENDENT,240 N CENTRAL AVE,NEW BRAUNFELS,78130,7,43,35,20
46901106,NEW BRAUNFELS I,COUNTY LINE ELE,5,INDEPENDENT,1200 COUNTY LINE RD,NEW BRAUNFELS,78130,2,50,39,27
46901107,NEW BRAUNFELS I,WALNUT SPRINGS,5,INDEPENDENT,1900 S WALNUT,NEW BRAUNFELS,78130,4,44,38,20
46901108,NEW BRAUNFELS I,MEMORIAL ELEM.,5,INDEPENDENT,1911 S WALNUT,NEW BRAUNFELS,78130,10,56,34,20
46901109,NEW BRAUNFELS I,KLEIN ROAD ELEM,5,INDEPENDENT,2620 KLEIN WAY,NEW BRAUNFELS,78130,15,80,49,31
46901110,NEW BRAUNFELS I,VOSS FARMS ELEM,5,INDEPENDENT,2510 PAHMEYER RD,NEW BRAUNFELS,78130,4,91,63,36
46901111,NEW BRAUNFELS I,VERAMENDI ELEM.,5,INDEPENDENT,2290 OAK RUN PKWY,NEW BRAUNFELS,78132,6,136,113,83
