CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,Zipcode,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Income Below 75K,Income Over 100K,High School Diploma,Master Degree,Poverty Family,Non Poverty Family
57914102,MESQUITE ISD,FLORENCE ELEM.,5,INDEPENDENT,4621 GLENEAGLE ST,MESQUITE,75150.0,9.0,77.0,53.0,36.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914103,MESQUITE ISD,GALLOWAY ELEM.,5,INDEPENDENT,200 CLARY DR,MESQUITE,75149.0,23.0,80.0,56.0,33.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914104,MESQUITE ISD,HANBY ELEM.,5,INDEPENDENT,480 GROSS RD,MESQUITE,75149.0,18.0,94.0,57.0,39.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914105,MESQUITE ISD,HODGES ELEM.,5,INDEPENDENT,14401 SPRING OAKS,BALCH SPRINGS,75180.0,21.0,81.0,48.0,27.0,0.0,0.0,2839.0,132.0,986.0,2447.0
57914106,MESQUITE ISD,MCWHORTER ELEM.,5,INDEPENDENT,1700 HICKORY TREE RD,MESQUITE,75149.0,40.0,71.0,36.0,26.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914107,MESQUITE ISD,MOTLEY ELEM.,5,INDEPENDENT,3719 MOON DR,MESQUITE,75150.0,2.0,45.0,37.0,25.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914108,MESQUITE ISD,RANGE ELEM.,5,INDEPENDENT,2600 BAMBOO ST,MESQUITE,75150.0,29.0,76.0,50.0,25.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914109,MESQUITE ISD,RUGEL ELEM.,5,INDEPENDENT,2701 SYBIL DR,MESQUITE,75149.0,16.0,46.0,27.0,15.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914110,MESQUITE ISD,RUTHERFORD ELEM,5,INDEPENDENT,1607 SIERRA DR,MESQUITE,75149.0,24.0,98.0,64.0,38.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914111,MESQUITE ISD,SHANDS ELEM.,5,INDEPENDENT,4836 SHANDS DR,MESQUITE,75150.0,15.0,99.0,69.0,55.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914112,MESQUITE ISD,TISINGER ELEM.,5,INDEPENDENT,1701 HILLCREST ST,MESQUITE,75149.0,38.0,106.0,71.0,38.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914113,MESQUITE ISD,TOSCH ELEM.,5,INDEPENDENT,2424 LARCHMONT DR,MESQUITE,75150.0,27.0,82.0,45.0,28.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914114,MESQUITE ISD,SEABOURN ELEM.,5,INDEPENDENT,2300 SANDY LN,MESQUITE,75149.0,21.0,62.0,31.0,14.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914115,MESQUITE ISD,LAWRENCE ELEM.,5,INDEPENDENT,3811 RICHMAN DR,MESQUITE,75150.0,7.0,44.0,26.0,18.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914116,MESQUITE ISD,FLOYD ELEM.,5,INDEPENDENT,3025 HICKORY TREE RD,BALCH SPRINGS,75180.0,34.0,73.0,33.0,17.0,0.0,0.0,2839.0,132.0,986.0,2447.0
57914117,MESQUITE ISD,PORTER ELEM.,5,INDEPENDENT,517 VIA AVENIDA,MESQUITE,75150.0,7.0,61.0,45.0,25.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914118,MESQUITE ISD,MCKENZIE ELEM.,5,INDEPENDENT,3535 STEPHENS GREEN,MESQUITE,75150.0,9.0,66.0,50.0,27.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914119,MESQUITE ISD,BEASLEY ELEM.,5,INDEPENDENT,919 GREEN CANYON DR,MESQUITE,75150.0,21.0,46.0,26.0,15.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914120,MESQUITE ISD,PRICE ELEM.,5,INDEPENDENT,630 STROUD LN,GARLAND,75043.0,19.0,49.0,24.0,13.0,45.0,0.0,7844.0,2582.0,371.0,6669.0
57914121,MESQUITE ISD,SHAW ELEM.,5,INDEPENDENT,707 PURPLE SAGE TRL,MESQUITE,75150.0,15.0,74.0,48.0,26.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914122,MESQUITE ISD,KIMBALL ELEM.,5,INDEPENDENT,4010 CORYELL WAY,MESQUITE,75150.0,3.0,39.0,31.0,16.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914123,MESQUITE ISD,PIRRUNG ELEM.,5,INDEPENDENT,1500 CREEK VLY,MESQUITE,75181.0,22.0,70.0,35.0,22.0,0.0,0.0,3972.0,1276.0,160.0,3866.0
57914124,MESQUITE ISD,CANNADAY ELEM.,5,INDEPENDENT,2701 CHISOLM TR,MESQUITE,75150.0,12.0,74.0,51.0,28.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914125,MESQUITE ISD,AUSTIN ELEM.,5,INDEPENDENT,3020 POTEET DR,MESQUITE,75150.0,17.0,55.0,40.0,24.0,10.0,0.0,9326.0,1665.0,671.0,5115.0
57914126,MESQUITE ISD,MOSS ELEM.,5,INDEPENDENT,1208 NEW MARKET RD,MESQUITE,75149.0,9.0,48.0,26.0,18.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914127,MESQUITE ISD,THOMPSON ELEM.,5,INDEPENDENT,2525 HELEN LN,MESQUITE,75181.0,31.0,74.0,44.0,18.0,0.0,0.0,3972.0,1276.0,160.0,3866.0
57914128,MESQUITE ISD,GRAY ELEM.,5,INDEPENDENT,3500 PIONEER RD,BALCH SPRINGS,75180.0,24.0,54.0,36.0,24.0,0.0,0.0,2839.0,132.0,986.0,2447.0
57914129,MESQUITE ISD,SMITH ELEM.,5,INDEPENDENT,2300 MESQUITE VALLEY RD,MESQUITE,75149.0,30.0,44.0,25.0,12.0,38.0,0.0,8391.0,1236.0,1008.0,4939.0
57914130,MESQUITE ISD,GENTRY ELEM.,5,INDEPENDENT,1901 TWIN OAKS DR,MESQUITE,75181.0,12.0,108.0,77.0,51.0,0.0,0.0,3972.0,1276.0,160.0,3866.0
57914131,MESQUITE ISD,MACKEY ELEM.,5,INDEPENDENT,14900 N SPRING RIDGE CIR,BALCH SPRINGS,75180.0,27.0,102.0,56.0,27.0,0.0,0.0,2839.0,132.0,986.0,2447.0
57914132,MESQUITE ISD,ACHZIGER ELEM.,5,INDEPENDENT,3300 RIDGERANCH RD,MESQUITE,75181.0,27.0,103.0,67.0,39.0,0.0,0.0,3972.0,1276.0,160.0,3866.0
57914133,MESQUITE ISD,DR. LINDA HENRI,5,INDEPENDENT,253 W LAWSON RD,DALLAS,75253.0,22.0,124.0,75.0,45.0,0.0,0.0,2580.0,154.0,617.0,2238.0
57916101,RICHARDSON ISD,ARAPAHO CLASSIC,5,INDEPENDENT,1300 CYPRESS DR,RICHARDSON,75080.0,6.0,76.0,57.0,29.0,43.0,0.0,3826.0,4920.0,613.0,4409.0
57916102,RICHARDSON ISD,CANYON CREEK EL,5,INDEPENDENT,2100 COPPER RDG DR,RICHARDSON,75080.0,2.0,37.0,35.0,28.0,43.0,0.0,3826.0,4920.0,613.0,4409.0
57916103,RICHARDSON ISD,DOVER ELEM.,5,INDEPENDENT,700 DOVER DR,RICHARDSON,75080.0,14.0,62.0,38.0,26.0,43.0,0.0,3826.0,4920.0,613.0,4409.0
57916104,RICHARDSON ISD,GREENWOOD HILLS,5,INDEPENDENT,1313 W SHORE DR,RICHARDSON,75080.0,13.0,40.0,36.0,16.0,43.0,0.0,3826.0,4920.0,613.0,4409.0
57916105,RICHARDSON ISD,HAMILTON PARK P,5,INDEPENDENT,8301 TOWNS ST,DALLAS,75243.0,10.0,83.0,57.0,36.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57916106,RICHARDSON ISD,O. HENRY ELEM.,5,INDEPENDENT,4100 TYNES DR,GARLAND,75042.0,6.0,58.0,43.0,28.0,60.0,0.0,4647.0,459.0,1149.0,3763.0
57916107,RICHARDSON ISD,LAKE HIGHLANDS,5,INDEPENDENT,9501 FERNDALE RD,DALLAS,75238.0,14.0,71.0,46.0,30.0,28.0,0.0,2708.0,2432.0,430.0,2950.0
57916108,RICHARDSON ISD,MOHAWK ELEM.,5,INDEPENDENT,1500 MIMOSA DR,RICHARDSON,75080.0,2.0,59.0,49.0,38.0,43.0,0.0,3826.0,4920.0,613.0,4409.0
57916109,RICHARDSON ISD,NORTHRICH ELEM.,5,INDEPENDENT,1301 CUSTER RD,RICHARDSON,75080.0,7.0,47.0,30.0,14.0,43.0,0.0,3826.0,4920.0,613.0,4409.0
57916110,RICHARDSON ISD,NORTHWOOD HILLS,5,INDEPENDENT,14532 MEANDERING WAY,DALLAS,75240.0,26.0,53.0,34.0,18.0,11.0,0.0,3052.0,1102.0,745.0,1703.0
57916111,RICHARDSON ISD,RICHARDSON HEIG,5,INDEPENDENT,101 N FLOYD RD,RICHARDSON,75080.0,16.0,39.0,19.0,11.0,43.0,0.0,3826.0,4920.0,613.0,4409.0
57916112,RICHARDSON ISD,RICHARDSON TERR,5,INDEPENDENT,300 N DOROTHY AVE,RICHARDSON,75081.0,11.0,46.0,35.0,24.0,8.0,0.0,4172.0,3096.0,148.0,2851.0
57916113,RICHARDSON ISD,SPRING VALLEY E,5,INDEPENDENT,13535 SPRING GROVE AVE,DALLAS,75240.0,14.0,42.0,15.0,7.0,11.0,0.0,3052.0,1102.0,745.0,1703.0
57916114,RICHARDSON ISD,STULTS ROAD ELE,5,INDEPENDENT,8700 STULTS RD,DALLAS,75243.0,21.0,58.0,34.0,15.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57916115,RICHARDSON ISD,MARK TWAIN ELEM,5,INDEPENDENT,1200 LARKSPUR DR,RICHARDSON,75081.0,15.0,57.0,44.0,27.0,8.0,0.0,4172.0,3096.0,148.0,2851.0
57916116,RICHARDSON ISD,WALLACE ELEM.,5,INDEPENDENT,9921 KIRKHAVEN DR,DALLAS,75238.0,14.0,85.0,58.0,34.0,28.0,0.0,2708.0,2432.0,430.0,2950.0
57916117,RICHARDSON ISD,WHITE ROCK ELEM,5,INDEPENDENT,9229 CHISWELL RD,DALLAS,75238.0,12.0,119.0,101.0,83.0,28.0,0.0,2708.0,2432.0,430.0,2950.0
57916118,RICHARDSON ISD,SPRING CREEK EL,5,INDEPENDENT,7667 ROUNDROCK RD,DALLAS,75248.0,1.0,41.0,38.0,32.0,59.0,20.0,2795.0,4206.0,72.0,2446.0
57916120,RICHARDSON ISD,FORESTRIDGE ELE,5,INDEPENDENT,10330 BUNCHBERRY DR,DALLAS,75243.0,17.0,65.0,38.0,23.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57916121,RICHARDSON ISD,NORTHLAKE ELEM.,5,INDEPENDENT,10059 RAVENSWAY DR,DALLAS,75238.0,11.0,67.0,52.0,29.0,28.0,0.0,2708.0,2432.0,430.0,2950.0
57916122,RICHARDSON ISD,BOWIE ELEM.,5,INDEPENDENT,7643 LA MANGA DR,DALLAS,75248.0,5.0,79.0,66.0,50.0,59.0,20.0,2795.0,4206.0,72.0,2446.0
57916123,RICHARDSON ISD,PRAIRIE CREEK E,5,INDEPENDENT,2120 E PRAIRIE CREEK DR,RICHARDSON,75080.0,0.0,45.0,42.0,33.0,43.0,0.0,3826.0,4920.0,613.0,4409.0
57916124,RICHARDSON ISD,SPRINGRIDGE ELE,5,INDEPENDENT,1801 E SPRING VLY RD,RICHARDSON,75081.0,6.0,48.0,35.0,24.0,8.0,0.0,4172.0,3096.0,148.0,2851.0
57916125,RICHARDSON ISD,PRESTONWOOD ELE,5,INDEPENDENT,6525 LA COSA,DALLAS,75248.0,8.0,66.0,55.0,45.0,59.0,20.0,2795.0,4206.0,72.0,2446.0
57916126,RICHARDSON ISD,SKYVIEW ELEM.,5,INDEPENDENT,9229 MEADOWKNOLL DR,DALLAS,75243.0,29.0,51.0,32.0,23.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57916127,RICHARDSON ISD,DARTMOUTH ELEM.,5,INDEPENDENT,417 DARTMOUTH LN,RICHARDSON,75081.0,6.0,42.0,33.0,27.0,8.0,0.0,4172.0,3096.0,148.0,2851.0
57916128,RICHARDSON ISD,BRENTFIELD ELEM,5,INDEPENDENT,6767 BRENTFIELD DR,DALLAS,75248.0,1.0,101.0,89.0,76.0,59.0,20.0,2795.0,4206.0,72.0,2446.0
57916129,RICHARDSON ISD,JESS HARBEN ELE,5,INDEPENDENT,600 S GLENVILLE DR,RICHARDSON,75081.0,5.0,23.0,12.0,7.0,8.0,0.0,4172.0,3096.0,148.0,2851.0
57916130,RICHARDSON ISD,RICHLAND ELEM.,5,INDEPENDENT,550 PARK BEND,RICHARDSON,75081.0,28.0,56.0,32.0,24.0,8.0,0.0,4172.0,3096.0,148.0,2851.0
57916131,RICHARDSON ISD,YALE ELEM.,5,INDEPENDENT,1900 E COLLINS BLVD,RICHARDSON,75081.0,9.0,49.0,34.0,22.0,8.0,0.0,4172.0,3096.0,148.0,2851.0
57916132,RICHARDSON ISD,MOSS HAVEN ELEM,5,INDEPENDENT,9202 MOSS FARM LN,DALLAS,75243.0,9.0,54.0,47.0,37.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57916133,RICHARDSON ISD,BIG SPRINGS ELE,5,INDEPENDENT,3301 W CAMPBELL RD,GARLAND,75044.0,8.0,32.0,27.0,18.0,50.0,0.0,4531.0,2725.0,373.0,3509.0
57916134,RICHARDSON ISD,MERRIMAN PARK E,5,INDEPENDENT,7101 WINEDALE DR,DALLAS,75231.0,14.0,46.0,35.0,25.0,6.0,0.0,4734.0,1684.0,1467.0,1944.0
57916135,RICHARDSON ISD,AIKIN ELEM.,5,INDEPENDENT,12300 PLEASANT VLY DR,DALLAS,75243.0,27.0,55.0,37.0,26.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57916137,RICHARDSON ISD,RISD ACAD.,5,INDEPENDENT,13630 COIT RD,DALLAS,75240.0,31.0,97.0,56.0,32.0,11.0,0.0,3052.0,1102.0,745.0,1703.0
57916142,RICHARDSON ISD,MATH-SCIENCE-TE,5,INDEPENDENT,450 ABRAMS RD,RICHARDSON,75081.0,3.0,79.0,71.0,61.0,8.0,0.0,4172.0,3096.0,148.0,2851.0
57916143,RICHARDSON ISD,FOREST LANE ACA,5,INDEPENDENT,9663 FOREST LN,DALLAS,75243.0,24.0,69.0,41.0,23.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57916144,RICHARDSON ISD,AUDELIA CREEK E,5,INDEPENDENT,12600 AUDELIA,DALLAS,75243.0,20.0,55.0,24.0,8.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57916145,RICHARDSON ISD,CAROLYN G. BUKH,5,INDEPENDENT,13900 MAHAM RD,DALLAS,75240.0,32.0,80.0,40.0,25.0,11.0,0.0,3052.0,1102.0,745.0,1703.0
57916146,RICHARDSON ISD,THURGOOD MARSHA,5,INDEPENDENT,9666 FERRIS BRANCH,DALLAS,75243.0,20.0,41.0,24.0,11.0,42.0,20.0,8183.0,3090.0,1501.0,2814.0
57919041,SUNNYVALE ISD,SUNNYVALE M.S.,5,INDEPENDENT,216 N COLLINS RD,SUNNYVALE,75182.0,3.0,140.0,109.0,82.0,14.0,0.0,561.0,391.0,0.0,1184.0
57922101,COPPELL ISD,PINKERTON ELEM.,5,INDEPENDENT,260 SOUTHWESTERN BLVD,COPPELL,75019.0,3.0,63.0,55.0,45.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
57922103,COPPELL ISD,AUSTIN ELEM.,5,INDEPENDENT,161 S MOORE,COPPELL,75019.0,6.0,85.0,74.0,60.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
57922105,COPPELL ISD,MOCKINGBIRD ELE,5,INDEPENDENT,300 MOCKINGBIRD,COPPELL,75019.0,2.0,84.0,77.0,61.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
57922106,COPPELL ISD,WILSON ELEM.,5,INDEPENDENT,200 S COPPELL RD,COPPELL,75019.0,16.0,65.0,50.0,36.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
57922107,COPPELL ISD,LAKESIDE ELEM.,5,INDEPENDENT,1100 VILLAGE PKWY,COPPELL,75019.0,1.0,128.0,108.0,89.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
57922108,COPPELL ISD,TOWN CENTER ELE,5,INDEPENDENT,185 N HEARTZ RD,COPPELL,75019.0,1.0,115.0,91.0,73.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
57922109,COPPELL ISD,COTTONWOOD CREE,5,INDEPENDENT,615 MINYARD,COPPELL,75019.0,9.0,87.0,66.0,44.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
57922110,COPPELL ISD,VALLEY RANCH EL,5,INDEPENDENT,9800 RODEO DR,IRVING,75063.0,8.0,118.0,108.0,86.0,25.0,0.0,1707.0,7206.0,117.0,4858.0
57922111,COPPELL ISD,DENTON CREEK EL,5,INDEPENDENT,250 NATCHES TRACE,COPPELL,75019.0,9.0,74.0,65.0,53.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
57922112,COPPELL ISD,RICHARD J. LEE,5,INDEPENDENT,8808 CHAPARRAL WATERS WAY,DALLAS,75019.0,2.0,128.0,122.0,108.0,123.0,6.0,2315.0,5985.0,185.0,6590.0
58902001,DAWSON ISD,DAWSON SCHOOL,5,INDEPENDENT,600 BROWNFIELD HWY 137,WELCH,79377.0,4.0,4.0,0.0,0.0,0.0,0.0,46.0,5.0,0.0,47.0
58905001,KLONDIKE ISD,KLONDIKE ISD,5,INDEPENDENT,2911 COUNTY RD H,LAMESA,79331.0,0.0,23.0,23.0,19.0,0.0,0.0,2186.0,242.0,237.0,1187.0
58906103,LAMESA ISD,NORTH ELEM.,5,,,,,40.0,88.0,48.0,29.0,,,,,,
58909001,SANDS CISD,SANDS CISD,5,INDEPENDENT,101 FIRST ST,ACKERLY,79713.0,2.0,13.0,10.0,8.0,0.0,0.0,58.0,32.0,2.0,20.0
59901101,HEREFORD ISD,AIKMAN ELEM.,5,INDEPENDENT,900 AVE K,HEREFORD,79045.0,7.0,60.0,34.0,16.0,0.0,0.0,2878.0,270.0,316.0,2344.0
59901102,HEREFORD ISD,BLUEBONNET ELEM,5,INDEPENDENT,221 16TH ST,HEREFORD,79045.0,19.0,56.0,29.0,18.0,0.0,0.0,2878.0,270.0,316.0,2344.0
59901103,HEREFORD ISD,WEST CENTRAL EL,5,INDEPENDENT,120 CAMPBELL ST,HEREFORD,79045.0,26.0,46.0,24.0,10.0,0.0,0.0,2878.0,270.0,316.0,2344.0
59901104,HEREFORD ISD,NORTHWEST ELEM.,5,INDEPENDENT,400 MOREMAN,HEREFORD,79045.0,7.0,83.0,61.0,35.0,0.0,0.0,2878.0,270.0,316.0,2344.0
59902101,WALCOTT ISD,WALCOTT ELEM.,5,INDEPENDENT,4275 HWY 214,HEREFORD,79045.0,0.0,19.0,15.0,8.0,0.0,0.0,2878.0,270.0,316.0,2344.0
60902101,COOPER ISD,COOPER ELEM.,5,INDEPENDENT,1401 SW 8TH ST,COOPER,75432.0,14.0,38.0,21.0,12.0,0.0,0.0,644.0,105.0,87.0,276.0
60914102,FANNINDEL ISD,FANNINDEL ELEM.,5,INDEPENDENT,409 W MAIN ST,PECAN GAP,75469.0,4.0,11.0,7.0,5.0,0.0,0.0,125.0,9.0,9.0,2.0
61802003,NORTH TEXAS COL,NORTH TEXAS COL,5,CHARTER,968 RALDON ST,LEWISVILLE,75067.0,7.0,12.0,8.0,5.0,4.0,6.0,8436.0,3635.0,656.0,5314.0
61802004,NORTH TEXAS COL,NORTH TEXAS COL,5,CHARTER,4601 IH 35 N,DENTON,76207.0,6.0,6.0,3.0,1.0,22.0,8.0,1758.0,763.0,178.0,974.0
61802005,NORTH TEXAS COL,NORTH TEXAS COL,5,CHARTER,1851 OAK GROVE PKWY,LITTLE ELM,75068.0,7.0,12.0,4.0,1.0,45.0,19.0,5366.0,3816.0,399.0,8712.0
61804002,LEADERSHIP PREP,LEADERSHIP PREP,5,CHARTER,8100 TEEL PKWY,FRISCO,75034.0,19.0,138.0,100.0,65.0,290.0,96.0,6343.0,10321.0,372.0,17460.0
61805001,TRIVIUM ACADEMY,TRIVIUM ACAD.,5,CHARTER,2205 E HEBRON PKWY,CARROLLTON,75010.0,8.0,56.0,45.0,35.0,17.0,18.0,2723.0,2179.0,324.0,3403.0
61901102,DENTON ISD,HOUSTON ELEM.,5,INDEPENDENT,3100 TEASLEY,DENTON,76205.0,8.0,95.0,72.0,51.0,8.0,0.0,1984.0,1350.0,169.0,1254.0
61901104,DENTON ISD,ALICE MOORE ALE,5,INDEPENDENT,800 MACK PL,DENTON,76201.0,12.0,69.0,51.0,36.0,30.0,0.0,1445.0,1655.0,62.0,582.0
61901105,DENTON ISD,HODGE ELEM.,5,INDEPENDENT,3900 GRANT PKWY,DENTON,76208.0,4.0,89.0,57.0,39.0,0.0,0.0,2205.0,1418.0,154.0,2784.0
61901106,DENTON ISD,MCNAIR ELEM.,5,INDEPENDENT,1212 HICKORY CREEK RD,DENTON,76210.0,2.0,85.0,72.0,55.0,118.0,0.0,3982.0,2918.0,163.0,6812.0
61901107,DENTON ISD,NEWTON RAYZOR E,5,INDEPENDENT,1400 MALONE,DENTON,76201.0,9.0,82.0,55.0,36.0,30.0,0.0,1445.0,1655.0,62.0,582.0
61901108,DENTON ISD,RIVERA ELEM.,5,INDEPENDENT,701 NEWTON ST,DENTON,76205.0,20.0,88.0,61.0,32.0,8.0,0.0,1984.0,1350.0,169.0,1254.0
61901109,DENTON ISD,WILSON ELEM.,5,INDEPENDENT,1306 E WINDSOR ST,DENTON,76209.0,17.0,82.0,52.0,28.0,0.0,0.0,2536.0,1533.0,253.0,1357.0
61901110,DENTON ISD,GINNINGS ELEM.,5,INDEPENDENT,2525 YELLOWSTONE,DENTON,76209.0,22.0,78.0,50.0,32.0,0.0,0.0,2536.0,1533.0,253.0,1357.0
61901111,DENTON ISD,BORMAN ELEM.,5,INDEPENDENT,1201 PARVIN,DENTON,76205.0,15.0,62.0,32.0,19.0,8.0,0.0,1984.0,1350.0,169.0,1254.0
61901112,DENTON ISD,EVERS PARK ELEM,5,INDEPENDENT,3300 EVERS PKWY,DENTON,76207.0,18.0,73.0,54.0,42.0,22.0,8.0,1758.0,763.0,178.0,974.0
61901113,DENTON ISD,RYAN ELEM.,5,INDEPENDENT,201 W RYAN RD,DENTON,76210.0,5.0,101.0,80.0,58.0,118.0,0.0,3982.0,2918.0,163.0,6812.0
61901115,DENTON ISD,E.P. RAYZOR ELE,5,INDEPENDENT,377 RAYZOR RD,ARGYLE,76226.0,1.0,70.0,59.0,36.0,128.0,137.0,2038.0,2251.0,3.0,5007.0
61901116,DENTON ISD,PECAN CREEK ELE,5,INDEPENDENT,4400 LAKEVIEW BLVD,DENTON,76208.0,5.0,110.0,75.0,55.0,0.0,0.0,2205.0,1418.0,154.0,2784.0
61901117,DENTON ISD,PROVIDENCE ELEM,5,INDEPENDENT,1000 FM 2931,AUBREY,76227.0,13.0,60.0,46.0,32.0,58.0,2.0,3533.0,1410.0,57.0,4851.0
61901118,DENTON ISD,HAWK ELEM.,5,INDEPENDENT,2300 OAKMONT,CORINTH,76210.0,2.0,126.0,107.0,79.0,118.0,0.0,3982.0,2918.0,163.0,6812.0
61901119,DENTON ISD,SAVANNAH ELEM.,5,INDEPENDENT,1101 COTTON EXCHANGE DR,AUBREY,76227.0,21.0,120.0,81.0,48.0,58.0,2.0,3533.0,1410.0,57.0,4851.0
61901120,DENTON ISD,PALOMA CREEK EL,5,INDEPENDENT,1600 NAVO RD,AUBREY,76227.0,33.0,115.0,74.0,45.0,58.0,2.0,3533.0,1410.0,57.0,4851.0
61901121,DENTON ISD,NELSON ELEM.,5,INDEPENDENT,3909 TEASLEY LN,DENTON,76210.0,14.0,88.0,67.0,51.0,118.0,0.0,3982.0,2918.0,163.0,6812.0
61901122,DENTON ISD,BLANTON ELEM.,5,INDEPENDENT,9501 STACEE LN,ARGYLE,76266.0,10.0,100.0,78.0,53.0,25.0,0.0,2845.0,497.0,20.0,1853.0
61901123,DENTON ISD,STEPHENS ELEM.,5,INDEPENDENT,133 GARZA RD,SHADY SHORES,76208.0,10.0,38.0,29.0,23.0,0.0,0.0,2205.0,1418.0,154.0,2784.0
61901125,DENTON ISD,CROSS OAKS ELEM,5,INDEPENDENT,600 LIBERTY BLVD,CROSS ROADS,76227.0,15.0,90.0,63.0,40.0,58.0,2.0,3533.0,1410.0,57.0,4851.0
61901126,DENTON ISD,DOROTHY P. ADKI,5,INDEPENDENT,1701 MONAHAN DR,LANTANA,76226.0,3.0,62.0,49.0,29.0,128.0,137.0,2038.0,2251.0,3.0,5007.0
61901127,DENTON ISD,CATHERINE BELL,5,INDEPENDENT,601 VILLA PALOMA BLVD,LITTLE ELM,75068.0,39.0,85.0,57.0,36.0,45.0,19.0,5366.0,3816.0,399.0,8712.0
61902005,LEWISVILLE ISD,LEARNING CENTER,5,INDEPENDENT,1601 S EDMONDS LN,LEWISVILLE,75067.0,,,,,4.0,6.0,8436.0,3635.0,656.0,5314.0
61902101,LEWISVILLE ISD,CENTRAL ELEM.,5,INDEPENDENT,400 HIGH SCHOOL DR,LEWISVILLE,75057.0,30.0,92.0,45.0,22.0,0.0,0.0,1700.0,412.0,268.0,1249.0
61902102,LEWISVILLE ISD,COLLEGE STREET,5,,,,,16.0,36.0,13.0,5.0,,,,,,
61902104,LEWISVILLE ISD,LAKELAND ELEM.,5,INDEPENDENT,800 FOX AVE,LEWISVILLE,75067.0,25.0,83.0,48.0,27.0,4.0,6.0,8436.0,3635.0,656.0,5314.0
61902105,LEWISVILLE ISD,HEDRICK ELEM.,5,,,,,20.0,51.0,29.0,19.0,,,,,,
61902106,LEWISVILLE ISD,DEGAN ELEM.,5,INDEPENDENT,1680 COLLEGE PKWY,LEWISVILLE,75077.0,22.0,64.0,35.0,20.0,65.0,0.0,3449.0,2876.0,39.0,5134.0
61902107,LEWISVILLE ISD,CAMEY ELEM.,5,INDEPENDENT,4949 ARBOR GLEN RD,THE COLONY,75056.0,13.0,54.0,37.0,28.0,111.0,25.0,5998.0,3505.0,133.0,6893.0
61902108,LEWISVILLE ISD,TIMBER CREEK EL,5,INDEPENDENT,1900 TIMBER CREEK RD,FLOWER MOUND,75028.0,5.0,80.0,51.0,36.0,96.0,35.0,3161.0,4966.0,90.0,7511.0
61902109,LEWISVILLE ISD,PETERS COLONY E,5,INDEPENDENT,5101 NASH DR,THE COLONY,75056.0,13.0,83.0,53.0,37.0,111.0,25.0,5998.0,3505.0,133.0,6893.0
61902110,LEWISVILLE ISD,HIGHLAND VILLAG,5,INDEPENDENT,301 BRAZOS BLVD,HIGHLAND VILLAGE,75077.0,5.0,48.0,44.0,36.0,65.0,0.0,3449.0,2876.0,39.0,5134.0
61902111,LEWISVILLE ISD,STEWARTS CREEK,5,INDEPENDENT,4431 AUGUSTA ST,THE COLONY,75056.0,4.0,33.0,22.0,7.0,111.0,25.0,5998.0,3505.0,133.0,6893.0
61902112,LEWISVILLE ISD,FLOWER MOUND EL,5,INDEPENDENT,4101 CHURCHILL DR,FLOWER MOUND,75028.0,3.0,74.0,62.0,38.0,96.0,35.0,3161.0,4966.0,90.0,7511.0
61902113,LEWISVILLE ISD,INDIAN CREEK EL,5,INDEPENDENT,2050 ARBOR CREEK DR,CARROLLTON,75010.0,6.0,71.0,53.0,42.0,17.0,18.0,2723.0,2179.0,324.0,3403.0
